system,file,shannon,simpson
continue,12,85.59643965555489,46.92091760062237
continue,13,90.7844525470488,44.638987122262044
continue,14,84.5005702828643,46.626349206349204
continue,15,90.05516836467747,43.85491659724246
continue,16,88.89421780553945,45.67958508313745
continue,17,84.5683014122268,47.05621272062997
continue,18,89.31885103285525,44.37593402512018
continue,19,95.28289879632041,43.699802532488285
continue,2,95.27452148404404,43.189238506336615
continue,20,85.83732481624288,47.16428046075482
continue,21,89.29309395566554,44.22843151849703
continue,22,86.77019182888799,45.281543313989204
continue,23,83.47129766489307,47.6618014577464
continue,24,85.82786940178315,45.53863995884544
continue,25,77.56601217469793,50.06409216495871
continue,26,87.8179530153712,45.83085147309646
continue,27,89.06418289388407,44.22444529808198
continue,28,94.87698093448894,42.41883440887562
continue,29,90.12408306149894,44.80309464669406
continue,3,87.05426631106037,46.812595416404
continue,30,97.4766044196275,43.886072891768094
continue,31,92.43235375167501,44.56690435078659
continue,32,88.62085770047165,44.71573491297331
continue,33,88.61766873041871,43.54147535965718
continue,34,88.26674891998344,45.823392065189296
continue,35,81.02630478889857,48.192774116153544
continue,36,88.67477463157122,44.58179256737351
continue,37,96.72999446626413,42.89613212030218
continue,38,87.23126143105743,45.173876999223324
continue,39,83.89863417758748,46.68384961241194
continue,4,83.9257315661445,46.753348403780684
continue,40,94.00225821948086,42.815119995044235
continue,41,81.68794359817045,47.857171053347386
continue,42,82.34998076539927,48.35957006428945
continue,43,89.84753887308085,44.62842467673809
continue,44,82.54369512052155,46.88906714935936
continue,45,89.79213187857583,44.200880533372775
continue,46,83.99078737618979,47.00952159283351
continue,47,86.60028622720614,46.09439929942716
continue,48,83.4992487158524,47.21737770738548
continue,49,86.67818244923672,46.433952347177055
continue,5,77.76559593788531,49.77548242767046
continue,50,90.07160405152696,44.48074756886868
continue,51,92.58991696325192,43.611571358061546
continue,52,86.53276064977466,47.666214450259595
continue,53,87.41125770478509,47.02261802726219
continue,54,83.89943335935945,47.0761179415455
continue,55,93.09916353127669,43.166835784710905
continue,56,92.31639440810656,42.96242363950146
continue,57,85.43724987822218,46.99938100813576
continue,58,91.2100868891919,43.653168069497355
continue,59,85.02595777369623,46.57777783072417
continue,6,92.3605233069743,43.520062864077346
continue,60,82.35937874753249,48.46178576621386
continue,61,84.19669585990027,46.52252267296216
continue,62,84.16724183268153,46.519849179047036
continue,63,90.53194613270456,44.507950236604614
continue,64,91.75027105007867,43.326676351374864
continue,65,82.79796360682067,47.73660522211559
continue,66,91.73087058495575,44.30282438797738
continue,67,74.73969801820446,51.80080467958186
continue,68,81.365618438076,48.11382046952033
continue,69,87.235653936207,46.01764293117516
continue,7,82.9363833256983,46.50888591081555
continue,70,86.56701173982519,47.84668216166686
continue,71,93.32940529777557,46.447007080015894
continue,72,92.59125406578119,44.30554199382998
continue,73,85.50342333262287,46.26518657813805
continue,74,98.58607158807726,41.08971640571291
continue,75,86.72224937210426,44.633906628480844
continue,76,88.84987681414846,45.270430159759584
continue,77,103.43774224823497,39.87998751338551
continue,78,85.6641498150146,46.34940336737669
continue,79,91.0579495771645,44.75770633394082
continue,8,81.4521061183355,48.211127288593495
continue,80,90.7698881658873,45.66412159898906
continue,81,90.56539780154617,44.05444718701508
continue,82,91.03958621601345,44.88336394710324
continue,83,86.88981740124244,45.68704862181961
continue,84,93.28345392643163,43.72163259491057
continue,85,84.2442438185858,47.374086632595606
continue,86,86.95488624876971,45.48411905097345
continue,87,85.48109602373997,46.60502436289675
continue,88,86.01140863235997,46.73415195576368
continue,89,93.94914047553873,42.76126503010333
continue,9,86.04329156504514,46.40008808620521
continue,90,85.01856461603033,46.335681073776314
