,explain,human-full,create,human-cont,continue
top_ngram_chr_fraction_2,0.015212981744421906,0.012599370031498426,0.04471722928540114,0.01563663440059568,0.02586206896551724
top_ngram_chr_fraction_3,0.018255578093306288,0.01574921253937303,0.01972818939061815,0.0195457930007446,0.01867816091954023
top_ngram_chr_fraction_4,0.04411764705882353,0.01799910004499775,0.0394563787812363,0.022338049143708117,0.020474137931034482
oov_ratio,0.0634441087613293,0.06400665004156277,0.05945945945945946,0.06454918032786885,0.05508474576271186
entropy,10.077925325084864,28.856106699440268,10.546705243694188,23.091025180844724,15.082489032222773
perplexity,23811.533070583497,3404457435745.9883,38051.8599448428,10673449940.11406,3550109.5929292687
per_word_perplexity,71.93816637638518,2829972930.79467,102.84286471579135,10935911.823887356,7521.418629087434
flesch_reading_ease,34.24651384083049,31.8931649305118,23.806111111111136,32.15246561293441,32.729486615802415
flesch_kincaid_grade,13.610887296094909,14.670133427497667,15.688183421516758,14.806843227155728,14.015807577912842
smog,15.247664890283005,16.689078388715778,16.954822765917157,16.753131548150495,15.970245054697788
gunning_fog,16.97686604053386,18.989472091204885,19.380599647266315,19.081869369369368,18.003310487521016
automated_readability_index,15.749836875926846,17.156591923726886,18.023465608465607,17.552169401544404,16.105538600801758
coleman_liau_index,16.296332179930797,16.394705274043428,17.729135802469134,16.490141570141564,16.306732186732187
lix,56.975037073652985,59.055893258001866,63.883597883597886,60.05988577863578,58.030389240915554
rix,7.5,8.365853658536585,9.428571428571429,8.6875,7.842105263157895
dependency_distance_mean,2.954556564618745,3.1950334096405646,2.8034513657926903,3.3226092425403655,2.7793088572544336
dependency_distance_std,0.5400383917538829,1.3676503704846141,0.31731339297815736,1.4970565954287318,0.43073876218327006
prop_adjacent_dependency_relation_mean,0.4646848849773418,0.43911668733059644,0.4426061706148949,0.4447203910890953,0.46560390617670605
prop_adjacent_dependency_relation_std,0.08055465631129123,0.06008429538616517,0.0539394775060598,0.06026999253396509,0.053279527414242536
connectives,7,38,4,34,10.0
pos_prop_X,,0.03325020781379884,,0.0389344262295082,
pos_prop_SYM,,0.0024937655860349127,,0.0030737704918032786,
pos_prop_NUM,,0.0033250207813798837,,0.004098360655737705,
pos_prop_INTJ,,,0.002702702702702703,,0.00211864406779661
