file,TTR,Yules,MTLD
90,61.82,7727.79,211.27
91,55.21,5560.64,195.58
92,61.18,7957.32,209.47
93,45.33,3373.68,203.16
94,59.8,9465.39,211.33
95,58.21,6301.99,198.11
96,59.29,5447.94,145.71
97,54.59,5697.22,175.47
98,59.11,8358.89,234.61
99,53.0,4216.57,157.27
