persona,first_order_coherence,second_order_coherence,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,entropy,perplexity,per_word_perplexity,pos_prop_PROPN,pos_prop_VERB,pos_prop_DET,pos_prop_NOUN,pos_prop_ADP,pos_prop_ADJ,pos_prop_PRON,pos_prop_SCONJ,pos_prop_NUM,pos_prop_AUX,pos_prop_PUNCT,pos_prop_ADV,pos_prop_CCONJ,pos_prop_PART,pos_prop_SYM,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_INTJ,pos_prop_X
create,0.844617486000061,0.8259765386581421,True,222.0,0.8795731707317073,5.551829268292683,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.022865853658536585,25.024529780564308,16.318369905956114,17.280534957757336,19.855799373040753,20.637111285266457,19.137862068965514,69.81191222570533,11.454545454545455,6.132758620689655,6.0,3.302762058883155,26.363636363636363,24.0,8.715427567592448,1.8327586206896551,1.0,1.1101239339067417,580,365,0.6293103448275862,3642,22,14.02307697490044,1230679.4520843688,1876.035750128611,0.05030487804878049,0.11128048780487805,0.0625,0.2347560975609756,0.10670731707317073,0.125,0.04420731707317073,0.021341463414634148,0.006097560975609756,0.03353658536585366,0.10060975609756098,0.041158536585365856,0.025914634146341462,0.019817073170731708,,2.815635462827682,0.4040071454340075,0.48115843426445826,0.03560202971334215,15,7,0.01676829268292683,68,,
explain,0.8384289900461833,0.835990217225305,True,337.0,0.9099876695437731,5.298397040690506,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051669316375198726,0.04133545310015898,0.0321939586645469,0.017488076311605722,0.017488076311605722,0.0,0.00794912559618442,0.010333863275039745,0.012519872813990461,0.0,34.281127062634084,14.383970762025651,15.526782691899815,17.433693701580076,17.406988226025298,16.599402985074622,63.52996016982536,9.451612903225806,5.721845318860244,5.0,3.010154296357308,23.774193548387096,23.0,6.71401844683752,1.7544097693351424,1.0,1.0880803358041717,737,373,0.5061058344640434,4297,31,18.28542476592448,87349228.82345934,107705.58424594247,0.0012330456226880395,0.1405672009864365,0.06658446362515413,0.22688039457459927,0.12330456226880394,0.1159062885326757,0.07151664611590629,0.030826140567200986,0.009864364981504316,0.04808877928483354,0.08508014796547472,0.03945745992601726,0.02219482120838471,0.018495684340320593,,2.8818871706295197,0.523220699003296,0.4695953490748417,0.05862085559137134,28,6,,68,,
human,0.8296139917590402,0.8375979832240513,True,304.0,0.8951310861423221,4.68039950062422,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008535489667565139,0.0,0.0,0.0,0.0,0.0,0.01078167115902965,0.00876010781671159,0.0,0.0,46.30082166543846,14.448550724637684,14.492327821430806,17.45428641611398,18.196516212232865,13.4938418079096,63.12724146401375,9.956521739130435,5.145480225988701,4.0,2.7586575423654285,30.782608695652176,33.0,8.064719309593675,1.5282485875706215,1.0,0.8424096359262487,708,374,0.5282485875706214,3749,23,22.43976829572491,5565030463.177143,6947603.5745033,0.1136079900124844,0.10986267166042447,0.10611735330836454,0.1947565543071161,0.10237203495630462,0.09238451935081149,0.03620474406991261,0.016229712858926344,0.006242197253433208,0.03620474406991261,0.10112359550561797,0.02871410736579276,0.02122347066167291,0.03495630461922597,,3.35974510705225,0.6567747366228698,0.44385551173929216,0.05209792786144255,24,4,,6,,
continue,0.8639680857841785,0.8515093445777893,True,212.0,0.9081455805892548,5.578856152512998,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007244432519452643,0.004829621679635095,0.0,0.01559792027729636,35.16108510787828,13.204005903436645,15.420972879626152,17.295073441563005,16.589259259259258,17.96349146110057,63.7310422376836,8.62962962962963,6.0,6.0,3.156271429370956,19.51851851851852,19.0,4.976763565108393,1.7950664136622392,1.0,0.9874614038291439,527,302,0.573055028462998,3219,27,13.915296167117502,1104934.004943604,1914.9636134204577,0.04679376083188908,0.13518197573656845,0.07625649913344887,0.2530329289428076,0.12131715771230503,0.11091854419410745,0.019064124783362217,0.01559792027729636,0.0017331022530329288,0.038128249566724434,0.07279029462738301,0.03119584055459272,0.03119584055459272,0.03119584055459272,,2.5816893505701994,0.4287222991686513,0.4861649684429248,0.07276525381006423,21,6,0.01559792027729636,6,,
create,0.8285716011606413,0.8308891377278737,True,268.0,0.8634590377113134,5.146944083224968,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034797738147020443,0.0,0.0,0.0,0.0,0.0,0.005219660722053067,0.006089604175728578,0.0039147455415398,0.01950585175552666,37.31621890547265,13.60268656716418,15.425888645821313,17.231840796019902,16.780502487562188,16.636358208955226,60.243781094527364,8.466666666666667,5.74179104477612,5.0,3.0268277691995324,22.333333333333332,22.0,6.604712122585074,1.7358208955223882,1.0,0.9805879278981036,670,359,0.5358208955223881,3958,30,18.148312828352182,76157401.45788093,99034.33219490368,0.06631989596879063,0.12743823146944083,0.06501950585175553,0.2223667100130039,0.09752925877763328,0.09622886866059818,0.04811443433029909,0.01950585175552666,0.002600780234070221,0.033810143042912875,0.11313394018205461,0.035110533159947985,0.01950585175552666,0.033810143042912875,,2.8300069434732946,0.3995941974051628,0.4403107047652081,0.06568448729383877,18,3,0.01950585175552666,6,,
explain,0.8245528895279457,0.821318792445319,True,266.0,0.8978201634877384,5.309264305177112,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017648356496801236,0.011912640635340834,0.0,0.0,0.0,0.0,0.00727994705493051,0.005294506949040371,0.009265387160820648,0.01634877384196185,39.68891604010025,13.230338345864663,14.167174469761473,15.603508771929825,16.723438596491228,16.659187969924805,63.21929824561404,9.1,5.747368421052632,5.0,3.006648746331171,22.166666666666668,21.0,7.34884722630397,1.7097744360902256,1.0,0.9036155165514266,665,323,0.4857142857142857,3897,30,17.20922256014899,29776276.98612115,40567.134858475685,0.1307901907356948,0.12125340599455041,0.0776566757493188,0.19754768392370572,0.10626702997275204,0.10217983651226158,0.02997275204359673,0.01634877384196185,0.004087193460490463,0.03814713896457766,0.08310626702997276,0.027247956403269755,0.02452316076294278,0.02452316076294278,,2.6635289754161473,0.45738985409197497,0.46234397558447127,0.054377930953738184,21,5,0.01634877384196185,6,,
human,0.7559175078164447,0.7272436805935794,True,464.0,0.85,4.239814814814815,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03261661807580175,0.008381924198250729,0.0,0.0,0.0,0.0,0.008199708454810495,0.008017492711370262,0.009293002915451895,0.0,65.19569315673293,9.16751876379691,11.771956279417509,12.600794701986755,11.412064017660043,11.162781456953638,44.195143487858715,4.844444444444444,4.835540838852097,4.0,2.6757218466518653,20.133333333333333,19.0,10.61571162632696,1.4326710816777042,1.0,0.7850654392532304,906,396,0.4370860927152318,4579,45,32.24025089870892,100406784811724.61,92969245196.0413,0.09907407407407408,0.13518518518518519,0.07314814814814814,0.175,0.10462962962962963,0.027777777777777776,0.07314814814814814,0.022222222222222223,0.014814814814814815,0.04722222222222222,0.14166666666666666,0.026851851851851852,0.014814814814814815,0.044444444444444446,,2.9275573315482752,0.9756503525922808,0.4436754750112629,0.07184442971426928,24,1,,54,,
continue,0.8281077419718107,0.8330071827639705,True,255.0,0.9047619047619048,5.169129720853859,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011416145691764067,0.0,0.0,0.0,0.0,0.0,0.008969828757814623,0.006523511823865181,0.0,0.0180623973727422,48.17983783783788,12.054306306306305,14.088047467708748,15.51063063063063,15.867783783783779,15.572180180180176,55.17297297297297,7.32,5.562162162162162,5.0,2.8527228672773695,22.2,21.0,6.092618484691126,1.609009009009009,1.0,0.8905458948924693,555,313,0.563963963963964,3148,25,14.189015518884425,1452817.7708385666,2385.5792624607006,0.042692939244663386,0.1412151067323481,0.07389162561576355,0.2348111658456486,0.12479474548440066,0.07060755336617405,0.06403940886699508,0.022988505747126436,0.0049261083743842365,0.024630541871921183,0.0755336617405583,0.03776683087027915,0.029556650246305417,0.034482758620689655,,2.7341648447720557,0.45064399565519614,0.5060043731996656,0.06705635976531013,16,3,0.0180623973727422,54,,
create,0.801111052675945,0.7863330602645874,True,383.0,0.8911368015414258,5.205202312138728,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012040557667934094,0.0,0.0,0.0,0.0,0.0,0.004752851711026616,0.008555133079847909,0.0,0.0,40.27959706959709,13.023736263736264,14.922711194201714,16.534798534798536,16.607465201465203,16.795692307692303,60.787545787545795,8.476190476190476,5.775824175824176,5.0,3.0436870591670235,21.666666666666668,22.0,5.42334752829822,1.7087912087912087,1.0,0.9572336919590826,910,460,0.5054945054945055,5403,42,24.582140939022153,47411987713.58423,45676288.74141063,0.07418111753371869,0.12235067437379576,0.06358381502890173,0.22832369942196531,0.13102119460500963,0.08285163776493257,0.05973025048169557,0.015414258188824663,0.0038535645472061657,0.027938342967244702,0.1069364161849711,0.03468208092485549,0.023121387283236993,0.02601156069364162,,2.772389367200925,0.5904679578542837,0.4775563302676547,0.08672323830993009,25,6,,54,,
explain,0.8230872249603272,0.8253365680575371,True,282.0,0.8906497622820919,4.798732171156894,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08102046537706756,0.04709840201850295,0.027474067844126718,0.027474067844126718,0.0,0.0,0.009251471825063078,0.008410428931875526,0.02803476310625175,0.017432646592709985,55.44771133460182,10.933568904593638,12.960234197811797,14.149388420766513,14.036488176134817,13.528480565371023,51.09785267735798,6.384615384615385,5.219081272084805,5.0,2.7953880247548013,21.76923076923077,23.0,7.846153846153847,1.528268551236749,1.0,0.8248007610152887,566,260,0.45936395759717313,3028,26,16.16824071060737,10514236.044534389,16662.814650609173,0.08399366085578447,0.12836767036450078,0.08557844690966719,0.21236133122028525,0.12836767036450078,0.03328050713153724,0.058637083993660855,0.03328050713153724,0.00792393026941363,0.03645007923930269,0.08557844690966719,0.02694136291600634,0.02377179080824089,0.03803486529318542,,2.846881420649918,0.6354856370954577,0.4905610816938124,0.0631200414179138,23,3,0.017432646592709985,54,,
human,0.5244736404651228,0.5196816013617949,True,263.0,0.8098159509202454,3.9432515337423313,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01167693804735647,0.006487187804086928,0.0,0.0352760736196319,77.0178656716418,6.321377398720685,9.312151188531436,9.1854157782516,7.5978891257995755,8.9465671641791,36.20980810234541,3.2,4.537313432835821,4.0,2.4530112971912534,15.314285714285715,15.0,8.831021389143512,1.3507462686567164,1.0,0.6802925477658701,536,269,0.5018656716417911,2571,35,19.139558653719355,205212924.40747854,314743.74909122474,0.07975460122699386,0.10889570552147239,0.06288343558282208,0.17638036809815952,0.06134969325153374,0.07515337423312883,0.05828220858895705,0.024539877300613498,0.009202453987730062,0.07208588957055215,0.14570552147239263,0.03067484662576687,0.029141104294478526,0.03374233128834356,,2.54199855828871,0.844579225805152,0.4224028989689203,0.08271026988463547,19,5,0.023006134969325152,40,0.0015337423312883436,0.007668711656441718
continue,0.7521073646270312,0.7288340055942535,True,258.0,0.8846153846153846,4.585284280936455,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014723926380368098,0.0,0.0,0.0,0.0,0.0,0.007361963190184049,0.017484662576687116,0.015644171779141104,0.013377926421404682,62.032135319677224,9.548044692737435,11.92444826548165,12.7227808814401,11.985505896958408,12.013184357541896,45.587212911235255,5.111111111111111,4.983240223463687,4.0,2.6799653830594474,19.88888888888889,20.0,7.2995856469585965,1.4729981378026071,1.0,0.8410537783620563,537,265,0.4934823091247672,2742,27,15.523648653581347,5518676.657662651,9228.556283716807,0.026755852842809364,0.11036789297658862,0.07190635451505016,0.22240802675585283,0.11705685618729098,0.08361204013377926,0.05518394648829431,0.02508361204013378,0.0033444816053511705,0.06856187290969899,0.09197324414715718,0.051839464882943144,0.021739130434782608,0.030100334448160536,,2.7922902563182657,0.7317854666096734,0.46270489118529307,0.06711224435196748,19,3,0.013377926421404682,40,,0.006688963210702341
create,0.7499830943086873,0.7689252062277361,True,264.0,0.8928571428571429,5.068452380952381,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067839195979899495,0.03165829145728643,0.0,0.01636904761904762,43.23168216253447,13.491828512396697,14.848354935788365,16.761019283746556,17.114199724517903,15.409520661157025,61.40668044077135,9.125,5.507438016528925,5.0,2.921908277426798,25.208333333333332,23.0,9.755251434768637,1.631404958677686,1.0,0.9170589946371133,605,343,0.5669421487603306,3406,24,14.408060072725632,1808593.5784633674,2691.3594917609635,0.08928571428571429,0.11458333333333333,0.08482142857142858,0.1949404761904762,0.09970238095238096,0.10714285714285714,0.03720238095238095,0.026785714285714284,0.005952380952380952,0.052083333333333336,0.08779761904761904,0.03869047619047619,0.017857142857142856,0.026785714285714284,,2.9946601646560222,0.423073586813768,0.4573060597981809,0.06689531047405066,21,6,0.01636904761904762,40,,
explain,0.8378452062606812,0.8275893819332123,True,264.0,0.8980509745127436,5.037481259370315,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030387439858191947,0.012661433274246644,0.012661433274246644,0.0,0.0,0.0,0.02279057989364396,0.01139528994682198,0.0,0.0029985007496251873,47.35045454545457,12.120303030303031,13.67435211752769,14.995286195286196,15.570151515151515,15.313333333333329,58.02693602693603,7.925925925925926,5.52020202020202,5.0,2.901949181170637,22.0,21.0,8.023114754904753,1.621212121212121,1.0,0.9080381109275355,594,295,0.49663299663299665,3360,27,16.66881222287472,17344954.634016406,26004.42973615653,0.04047976011994003,0.13043478260869565,0.06746626686656672,0.2413793103448276,0.1199400299850075,0.10044977511244378,0.05247376311844078,0.02848575712143928,0.0029985007496251873,0.034482758620689655,0.095952023988006,0.034482758620689655,0.0239880059970015,0.026986506746626688,,2.804482432853217,0.5396548035742449,0.47594317858153734,0.07476676037359949,21,5,,40,,
human,0.7141265540287413,0.7118713946214744,True,294.0,0.851006711409396,4.444295302013423,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017250126839167934,0.0,0.0,0.0,0.0,0.0,0.0076103500761035,0.021562658548959918,0.015220700152207,0.0026845637583892616,59.76537367303611,10.12368152866242,12.161744961471694,13.1504033970276,12.909166666666671,12.58859872611465,48.958811040339704,5.866666666666666,5.068471337579618,4.0,2.8012894359482985,20.933333333333334,18.0,13.635574387934263,1.4872611464968153,1.0,0.8603973393055302,628,307,0.4888535031847134,3311,30,21.918067385494112,3302902239.712031,4433425.82511682,0.12885906040268458,0.11006711409395974,0.08322147651006712,0.18523489932885906,0.11946308724832215,0.04429530201342282,0.04563758389261745,0.016107382550335572,0.004026845637583893,0.04697986577181208,0.14496644295302014,0.01879194630872483,0.028187919463087248,0.024161073825503355,,2.683069895468668,0.9936689927504553,0.42713392379090337,0.12737309215820694,13,2,,41,,
continue,0.8534650887761798,0.8583101838827133,True,196.0,0.8949152542372881,5.640677966101695,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.02109375,0.009375,0.01694915254237288,31.21728294177734,14.935165134490976,16.581925556534415,18.847667688117127,19.530858018386105,18.96524344569288,69.96561116785836,11.090909090909092,6.119850187265918,6.0,3.1582273473510654,24.272727272727273,25.0,5.403549491532211,1.7846441947565543,1.0,1.0279193216539881,534,310,0.5805243445692884,3328,22,13.195356757133187,537861.7076552233,911.6300129749548,0.04067796610169491,0.1152542372881356,0.0576271186440678,0.27796610169491526,0.11864406779661017,0.12033898305084746,0.025423728813559324,0.020338983050847456,,0.03389830508474576,0.08135593220338982,0.030508474576271188,0.03220338983050847,0.0288135593220339,,2.7564940910128546,0.4166990192675395,0.4927493075892192,0.08985471185854325,15,2,0.01694915254237288,41,,
