persona,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,entropy,perplexity,per_word_perplexity,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,pos_prop_DET,pos_prop_PROPN,pos_prop_ADJ,pos_prop_NOUN,pos_prop_AUX,pos_prop_ADV,pos_prop_VERB,pos_prop_ADP,pos_prop_PUNCT,pos_prop_X,pos_prop_PRON,pos_prop_CCONJ,pos_prop_SCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_SYM,pos_prop_INTJ,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,connectives,connectives_cap,pos_prop_SPACE,file
create,0.7485121288677541,0.7350494053214789,6.068965517241379,6.0,3.456541816866667,20.023809523809526,19.0,9.786988678459286,1.8097502972651605,1.0,1.0180067533061667,841,343,0.40784780023781214,5213,42,21.96791885958482,3471729978.6180196,3654452.6090716,True,337.0,0.8778947368421053,5.487368421052632,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10173697270471464,0.09280397022332507,0.07096774193548387,0.07096774193548387,0.055417700578990904,0.055417700578990904,0.006947890818858561,0.008602150537634409,0.002977667493796526,0.02,0.06947368421052631,0.07684210526315789,0.10947368421052632,0.22421052631578947,0.02736842105263158,0.03368421052631579,0.11368421052631579,0.1231578947368421,0.10736842105263159,0.008421052631578947,0.030526315789473683,0.035789473684210524,0.011578947368421053,0.018947368421052633,0.009473684210526316,,,2.57229967646633,0.8770027210726081,0.4535452212156791,0.10300834506762918,33.40595818470078,13.574339222014608,14.889722007359985,16.475635581224168,17.16673234811166,18.407277051129608,64.85139573070609,8.976190476190476,21,5,,5
explain,0.8014182285829023,0.8001767080277205,6.052380952380952,6.0,3.444750187586218,24.705882352941178,23.5,8.655258217389507,1.7571428571428571,1.0,0.9477147594641135,840,377,0.4488095238095238,5261,34,23.503343117161236,16120266677.563684,15944873.073752409,True,333.0,0.8259149357072205,5.20375865479723,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06860331527982931,0.03709174462497949,0.01444280321680617,0.01444280321680617,0.01444280321680617,0.0,0.026587887740029542,0.010667979648777285,0.009847365829640572,0.033630069238377844,0.07319485657764589,0.09099901088031652,0.11671612265084075,0.18595450049455983,0.018793273986152326,0.036597428288822946,0.09693372898120672,0.11770524233432245,0.1572700296735905,0.004945598417408506,0.020771513353115726,0.03165182987141444,0.01582591493570722,0.017804154302670624,0.013847675568743818,0.0009891196834817012,,3.262257638030475,0.9203326512701014,0.4576578509702489,0.0644491733221545,33.104243697479035,14.779579831932775,15.865562744235312,17.92997198879552,19.429655462184876,18.58990476190476,69.34873949579833,11.029411764705882,27,6,,5
human,0.6684501685667783,0.6747384780150417,5.704054054054054,5.0,3.1344183127400718,22.424242424242426,21.0,14.079924033520754,1.7472972972972973,1.0,1.06653302592939,740,310,0.4189189189189189,4387,33,24.086812060620485,28891465025.815235,31889034.244829178,True,307.0,0.8079470198675497,4.842163355408388,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10765924189136382,0.06174286830793278,0.025400547088706527,0.01875732708089097,0.01875732708089097,0.0,0.015631105900742476,0.019538882375928098,0.01406799531066823,0.006622516556291391,0.06070640176600441,0.02869757174392936,0.08057395143487858,0.23841059602649006,0.03200883002207505,0.05187637969094923,0.11699779249448124,0.10264900662251655,0.152317880794702,0.03421633554083885,0.02759381898454746,0.026490066225165563,0.013245033112582781,0.02207505518763797,0.009933774834437087,0.002207505518763797,,3.380601923886208,1.6665781405824636,0.4324049833101532,0.10598492835943978,36.253042588042604,13.773562653562657,14.85362794165059,16.483210483210485,16.648215806715804,16.419837837837836,63.23505323505323,9.151515151515152,27,5,,4
continue,0.8583882684293,0.85424250906164,5.758064516129032,6.0,3.101721891333614,23.25,21.5,8.723770209414429,1.7419354838709677,1.0,1.0237665974317,558,254,0.4551971326164875,3287,24,16.077590015065958,9603037.52327579,15218.759941799985,True,233.0,0.8684627575277337,5.20919175911252,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07629997386987196,0.024562320355369743,0.0,0.0,0.0,0.0,0.036582179252678336,0.036582179252678336,0.030310948523647765,0.012678288431061807,0.05388272583201268,,0.08240887480190175,0.2868462757527734,0.03803486529318542,0.01901743264659271,0.1347068145800317,0.12995245641838352,0.11251980982567353,0.006339144215530904,0.05071315372424723,0.03328050713153724,0.01901743264659271,0.012678288431061807,0.00792393026941363,,,2.7307656364495205,0.6835492749774235,0.4839022004555233,0.07155648411808774,35.86850806451616,14.032338709677422,15.525013489936914,17.40035842293907,17.31548387096774,16.78430107526881,65.00627240143369,9.708333333333334,10,4,0.012678288431061807,4
create,0.8697863072156906,0.8548293253406882,6.3487603305785125,6.0,3.8141562264042186,33.611111111111114,31.5,18.27304903369042,1.8925619834710743,1.0,1.222391997916901,605,324,0.5355371900826447,3901,18,13.42903814286903,679449.4676649856,1021.7285228044896,True,207.0,0.881203007518797,5.867669172932331,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02011173184357542,0.02011173184357542,0.02011173184357542,0.02011173184357542,0.0,0.0,0.03441340782122905,0.03128491620111732,0.0,0.05714285714285714,0.06015037593984962,0.019548872180451128,0.11729323308270677,0.29774436090225564,0.03007518796992481,0.016541353383458645,0.13082706766917293,0.12631578947368421,0.0887218045112782,0.0030075187969924814,0.02406015037593985,0.02556390977443609,0.01804511278195489,0.013533834586466165,0.012030075187969926,0.0015037593984962407,,3.0782361722614957,0.8942996726980039,0.49017846864768955,0.04538734751692021,12.608978420569343,19.85056473829201,18.83193753551143,22.43617998163453,25.278216712580353,20.650049586776856,81.87557392102846,16.22222222222222,13,3,0.015037593984962405,4
explain,0.8660534396767616,0.8659530224338654,5.803430079155673,6.0,3.0552759596642174,22.96969696969697,21.0,8.881321388461423,1.7585751978891822,1.0,1.0469324844186607,758,303,0.3997361477572559,4492,33,22.134583614140446,4101356518.6416445,4836505.328586845,False,320.0,0.8950471698113207,5.297169811320755,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19911928010721808,0.11985448975684472,0.10874976067394218,0.10874976067394218,0.10874976067394218,0.10874976067394218,0.024124066628374498,0.014933946008041356,0.01263641585295807,0.0047169811320754715,0.07783018867924528,0.0047169811320754715,0.08962264150943396,0.2959905660377358,0.03773584905660377,0.02240566037735849,0.1332547169811321,0.11910377358490566,0.10141509433962265,,0.0294811320754717,0.031839622641509434,0.02358490566037736,0.027122641509433963,0.00589622641509434,,,3.040455736516409,0.7511735767460197,0.4756081977977234,0.09324629715346817,34.74529583433278,14.119369153274167,14.683698258229963,16.3118893419685,17.3890041576717,17.035514511873348,65.9776125369793,9.878787878787879,20,2,,4
human,0.7096562907099724,0.6930697638737527,5.667259786476868,5.0,3.0203278026919254,26.761904761904763,28.0,12.370875019691795,1.7135231316725978,1.0,0.988255971458452,562,250,0.44483985765124556,3309,21,16.113162211047303,9950787.095159607,14505.520546879894,True,234.0,0.8163265306122449,4.8236151603498545,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04038312192596428,0.02588661661920787,0.02588661661920787,0.0,0.0,0.0,0.018638363965829668,0.023297954957287082,0.017085166968677193,0.0014577259475218659,0.061224489795918366,0.04664723032069971,0.11224489795918367,0.23469387755102042,0.033527696793002916,0.03206997084548105,0.09329446064139942,0.10932944606413994,0.1282798833819242,0.03644314868804665,0.02478134110787172,0.023323615160349854,0.016034985422740525,0.03935860058309038,0.008746355685131196,,,4.035173845044996,2.0195588469910555,0.44051330222362944,0.069152368095119,34.70760972716491,15.066715810879511,15.532846611407376,17.75102524995763,18.643745975258433,16.417437722419923,67.86510760887985,11.0,15,5,,1
continue,0.8697794730013068,0.8696666388284593,6.152329749103942,6.0,3.105103895123198,24.26086956521739,22.0,8.842670220875632,1.7813620071684588,1.0,0.9921973052809224,558,250,0.44802867383512546,3490,23,13.5021202801539,730964.577637736,1188.560288841847,False,213.0,0.8796747967479674,5.67479674796748,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18229166666666666,0.10639880952380952,0.07415674603174603,0.052083333333333336,0.052083333333333336,0.052083333333333336,0.04513888888888889,0.03571428571428571,0.03422619047619048,0.011382113821138212,0.05365853658536585,0.027642276422764227,0.12357723577235773,0.2764227642276423,0.02926829268292683,0.030894308943089432,0.1008130081300813,0.12520325203252033,0.07479674796747968,0.0016260162601626016,0.03902439024390244,0.03577235772357724,0.01951219512195122,0.032520325203252036,0.01788617886178862,,,2.954974492055262,0.5702529306857336,0.48766227817695257,0.05775177357981598,31.506991584852756,14.891810815022598,15.735469404599304,17.733021661212405,19.677907900888265,19.155627240143364,70.3182172354683,11.173913043478262,11,1,0.011382113821138212,1
create,0.8604188781035574,0.8678997953732809,6.440647482014389,7.0,3.2155874204357877,27.8,26.0,6.9180922225711905,1.9226618705035972,2.0,1.1233897031915459,556,256,0.460431654676259,3653,20,12.53299336145501,277338.3060532649,441.62150645424344,False,204.0,0.8694267515923567,5.81687898089172,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17470881863560733,0.15711908723555978,0.12859519847872594,0.08889945329213216,0.06655574043261231,0.056096981221773236,0.027810791537913004,0.022819111005467078,0.021868314713572617,0.009554140127388535,0.04617834394904458,0.042993630573248405,0.1305732484076433,0.2659235668789809,0.027070063694267517,0.02388535031847134,0.11464968152866242,0.12579617834394904,0.09554140127388536,0.004777070063694267,0.028662420382165606,0.03662420382165605,0.014331210191082803,0.02388535031847134,0.01910828025477707,,,2.95328735901993,0.5465800029085032,0.47770062296221444,0.05446096425686992,15.960805755395683,17.93941007194245,17.693802365651003,20.472517985611514,22.80544964028777,21.00625899280576,79.23884892086332,14.3,8,2,,1
explain,0.8654631025650922,0.8622262850403786,5.977011494252873,6.0,3.0960746801644237,29.0,28.0,9.938701010583715,1.7816091954022988,1.0,1.002968246361999,522,233,0.446360153256705,3198,18,13.884813383262362,1071760.7162697664,1789.2499436890926,True,200.0,0.8547579298831386,5.33889816360601,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252914068853348,0.0,0.0,0.0,0.0,0.0,0.02439685551640011,0.014095960965031174,0.01870425589590675,0.018363939899833055,0.07178631051752922,0.02003338898163606,0.11853088480801335,0.27378964941569284,0.02671118530884808,0.03005008347245409,0.11018363939899833,0.11018363939899833,0.11018363939899833,0.00333889816360601,0.015025041736227046,0.03005008347245409,0.028380634390651086,0.0333889816360601,0.00333889816360601,,,3.1072130348026694,0.7233649827745475,0.49232976523029254,0.06842997219380752,26.67586206896553,16.742988505747125,16.728156217252725,19.41609195402299,21.221724137931034,18.324137931034482,73.82758620689656,13.0,14,1,0.015025041736227046,1
