persona,entropy,perplexity,per_word_perplexity,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,pos_prop_ADV,pos_prop_AUX,pos_prop_VERB,pos_prop_PUNCT,pos_prop_SCONJ,pos_prop_ADP,pos_prop_ADJ,pos_prop_NOUN,pos_prop_DET,pos_prop_PROPN,pos_prop_CCONJ,pos_prop_PART,pos_prop_NUM,pos_prop_X,pos_prop_PRON,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,connectives,connectives_cap,pos_prop_SPACE,file
create,10.703622628291583,44516.831308372064,54.35510538262767,22.53150211294661,18.082407407407405,16.27623348562678,21.092729766803842,18.141399176954728,22.981893004115225,60.13923182441701,6.296296296296297,0.05128205128205128,0.03540903540903541,0.07692307692307693,0.10989010989010989,0.01221001221001221,0.09645909645909646,0.11477411477411477,0.2612942612942613,0.14163614163614163,0.019536019536019536,0.03296703296703297,0.019536019536019536,0.004884004884004884,0.002442002442002442,0.020757020757020756,2.566898177273151,1.0584060877747103,0.43978443504283715,0.09619284126203792,0.35129786979512506,0.43912621307222605,6.968449931412894,6.0,4.28547077194619,13.5,13.5,6.898067362191626,2.4074074074074074,2.0,1.5852544117801997,729,352,0.4828532235939643,5170,54,True,301.0,0.8766788766788767,6.312576312576312,819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236570072869005,0.029825453312997796,0.0,0.0,0.0,0.0,0.020335536349771224,0.008812065751567531,0.0,0.04151404151404151,20,8,,68
explain,12.772253504746274,352305.33400926925,428.5952968482594,25.19105980193686,17.874713114754098,16.39920010794945,20.25300546448088,18.425040983606557,22.495245901639347,56.78005464480874,6.333333333333333,0.05474452554744526,0.06082725060827251,0.10583941605839416,0.10948905109489052,0.0170316301703163,0.10583941605839416,0.07907542579075426,0.23114355231143552,0.13138686131386862,0.00851581508515815,0.038929440389294405,0.0170316301703163,0.00851581508515815,0.0012165450121654502,0.030413625304136254,3.0232978415116896,0.9681142103099323,0.45673224627252623,0.09866623814270713,0.6552235961277434,0.6496445685625076,6.842896174863388,6.0,4.523607333330363,15.25,15.0,5.599479142444114,2.331967213114754,2.0,1.5924737463471106,732,325,0.44398907103825136,5099,48,False,370.0,0.889294403892944,6.20316301703163,822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15008576329331047,0.1451114922813036,0.11320754716981132,0.08439108061749571,0.04356775300171527,0.04356775300171527,0.011320754716981131,0.008576329331046312,0.011320754716981131,0.038929440389294405,26,12,,68
human,10.400653009628739,32881.0903339574,42.64732857841427,25.844052558782835,18.569173775671405,17.39191048741797,20.256745655608217,17.253507109004737,17.91924170616114,54.74928909952607,7.1,0.04539559014267185,0.029831387808041506,0.05058365758754864,0.13359273670557717,0.007782101167315175,0.12710765239948119,0.06874189364461739,0.1932555123216602,0.10376134889753567,0.11413748378728923,0.029831387808041506,0.0038910505836575876,0.05966277561608301,0.019455252918287938,0.01297016861219196,3.245500529319271,1.3970486382062537,0.44893939147105844,0.12083353716476679,0.42239055384335844,0.4457525091046201,5.973143759873618,4.0,4.4975934312536525,21.1,19.5,12.034256658943805,2.197472353870458,1.0,1.8032426276999376,633,321,0.5071090047393365,3919,30,True,274.0,0.7833981841763943,5.083009079118028,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032059727711901624,0.021958717610891524,0.021958717610891524,0.021958717610891524,0.012296881862099254,0.007465963987703118,0.014931927975406236,0.015371102327624066,0.00922266139657444,0.055771725032425425,17,1,,6
continue,9.124321138306023,9175.765826850906,15.369792004775386,21.1563025210084,19.800444743935312,17.971250198000288,21.8355795148248,19.031417789757413,21.333283018867927,58.55121293800539,7.5,0.06197654941373534,0.04355108877721943,0.06867671691792294,0.11222780569514237,0.01340033500837521,0.11390284757118928,0.09715242881072027,0.21943048576214405,0.1306532663316583,0.038525963149078725,0.03350083752093802,0.01340033500837521,0.0016750418760469012,,0.03350083752093802,3.054549962859096,0.984101896114741,0.49024541927431686,0.07098390737282698,0.6002779647156045,0.5921043902635574,6.581132075471698,5.0,4.562978860009729,18.928571428571427,17.5,7.558951984371962,2.3735849056603775,2.0,1.705722991003027,530,264,0.4981132075471698,3555,28,True,252.0,0.864321608040201,5.954773869346734,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05885249938438808,0.04506279241566117,0.03841418369859641,0.01822211278010342,0.0,0.0,0.007387343018960847,0.015759665107116475,0.01403595173602561,0.05862646566164154,10,1,0.018425460636515914,6
create,9.946261509182023,20874.038925913774,29.358704537150174,24.59924244930366,18.31131446540881,16.946389875369917,21.076981132075474,18.72721698113208,22.54610062893082,58.35283018867924,6.75,0.06610407876230662,0.053445850914205346,0.08720112517580872,0.10548523206751055,0.02109704641350211,0.09563994374120956,0.09985935302390998,0.22644163150492264,0.1209563994374121,0.030942334739803096,0.040787623066104076,0.015471167369901548,0.0028129395218002813,,0.03375527426160337,2.731931859870361,0.9110499940457469,0.4438535141582952,0.07414071132434974,0.514039758592844,0.5149018165508383,6.838050314465409,6.0,4.343418208429568,15.9,17.0,7.024243731534378,2.34748427672956,2.0,1.5612273306775877,636,328,0.5157232704402516,4424,40,True,292.0,0.8917018284106891,6.222222222222222,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056928246689068984,0.011860051393556038,0.011860051393556038,0.0,0.0,0.0,0.02391777031033801,0.0,0.0,0.02390998593530239,17,7,,6
explain,8.681348699394459,5891.987755328661,9.611725538872204,28.174018212862848,18.0697424322889,17.492344497675308,20.84556558682953,16.603481147105683,18.147137546468397,55.087891662241105,6.892857142857143,0.06035889070146819,0.03425774877650897,0.06525285481239804,0.11092985318107668,0.01631321370309951,0.11745513866231648,0.0929853181076672,0.19575856443719414,0.10440456769983687,0.06525285481239804,0.03915171288743882,0.008156606851549755,0.04241435562805873,0.008156606851549755,0.01957585644371941,3.067422755375635,0.9517744504168837,0.49340311403012527,0.09178704889258658,0.6283404771928434,0.5457116290210531,6.0353159851301115,4.0,4.127685336655807,19.214285714285715,18.0,7.403460305140828,2.217472118959108,2.0,1.6482252266973503,538,276,0.5130111524163569,3322,28,True,234.0,0.8401305057096248,5.419249592169657,613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05741127348643006,0.037056367432150315,0.018789144050104383,0.0,0.0,0.0,0.009394572025052192,0.014091858037578288,0.029749478079331943,0.06688417618270799,11,2,0.01957585644371941,6
human,10.67429089860411,43230.03981235967,53.10815701764087,12.77427990148837,20.52866639967962,18.210855082338274,21.764090241623286,18.794261113336,20.100616740088103,57.0533974102256,7.515151515151516,0.04054054054054054,0.04054054054054054,0.045454545454545456,0.1375921375921376,0.0036855036855036856,0.14373464373464373,0.03931203931203931,0.21744471744471744,0.11056511056511056,0.0945945945945946,0.018427518427518427,0.002457002457002457,0.07616707616707617,0.006142506142506142,0.012285012285012284,3.5201547099700368,1.0960230221403202,0.4945365413921935,0.05592867827173462,0.5253736840095371,0.4457919444107721,6.349486049926578,5.0,4.955725018136643,20.636363636363637,19.0,8.130817476580418,2.3788546255506606,2.0,1.9764604097375207,681,317,0.4654919236417034,4450,33,True,264.0,0.7481572481572482,5.475429975429975,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036381322957198446,0.0,0.0,0.0,0.0,0.0,0.002723735408560311,0.0048638132295719845,0.003501945525291829,0.09582309582309582,10,1,0.011056511056511056,54
continue,12.411744980325889,245670.13005614662,282.70440742939775,1.17636449928807,23.697920308102507,18.737673873743017,23.65901347948452,23.01390697674418,26.66736305732483,63.60613242482595,8.279069767441861,0.06098964326812428,0.04948216340621404,0.0759493670886076,0.09436133486766399,0.01611047180667434,0.13578826237054084,0.08285385500575373,0.2428078250863061,0.1093210586881473,0.03567318757192175,0.039125431530494824,0.011507479861910242,0.011507479861910242,0.0011507479861910242,0.01611047180667434,3.17679923793319,1.0144162058800819,0.47345866795836195,0.09070887893306669,0.6661265466717028,0.6520717137197896,7.498089171974522,6.0,5.336599639451472,18.25581395348837,19.0,5.519913309294891,2.7261146496815285,2.0,2.087913245165978,785,343,0.4369426751592357,5969,43,True,365.0,0.8734177215189873,6.869965477560414,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10365853658536585,0.034354550862581795,0.034354550862581795,0.0,0.0,0.0,0.006246281975014872,0.05353955978584176,0.030933967876264127,0.07479861910241657,28,6,0.01726121979286536,54
create,12.147942216713513,188705.3752633995,221.74544684300764,15.610120384031461,20.38411255411256,18.026119701940384,22.740548340548344,20.89686724386724,24.630493506493504,62.04617604617604,7.688888888888889,0.04935370152761457,0.03055229142185664,0.07755581668625147,0.09518213866039953,0.01410105757931845,0.11985898942420682,0.10575793184488837,0.25851938895417154,0.14336075205640422,0.01645123384253819,0.03760282021151586,0.011750881316098707,0.010575793184488837,,0.02937720329024677,2.7837637930262593,0.7340908721059154,0.45595882644622726,0.07886638276717518,0.556842830370773,0.5749529638262683,7.17012987012987,6.0,4.629481049570087,17.11111111111111,17.0,6.4056302395183655,2.483116883116883,2.0,1.718607303679469,770,384,0.4987012987012987,5602,45,True,362.0,0.9012925969447708,6.582843713278496,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019149270130277823,0.010045518756867053,0.0,0.0,0.0,0.0,0.003767069533825145,0.008005022759378434,0.0,0.03525264394829612,22,7,,54
explain,11.986574624058273,160584.3492589391,204.30578786124568,14.108503063421097,21.38949442119944,18.88956282103839,23.25258019525802,20.650927475592752,22.815899581589957,62.31555090655509,8.444444444444445,0.04834605597964377,0.04580152671755725,0.06997455470737914,0.08269720101781171,0.015267175572519083,0.1475826972010178,0.07633587786259542,0.2340966921119593,0.13740458015267176,0.04834605597964377,0.03816793893129771,0.005089058524173028,0.013994910941475827,,0.021628498727735368,3.059766550677504,0.7611259080575207,0.5023740525456843,0.06337912945702803,0.6493030224527632,0.6298779179068172,6.820083682008368,5.0,4.751244540032621,19.916666666666668,17.0,7.800908066800087,2.4755927475592747,2.0,1.8616075869114166,717,321,0.4476987447698745,4959,36,True,341.0,0.8829516539440203,6.309160305343512,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10265486725663717,0.05238938053097345,0.04530973451327434,0.02088495575221239,0.0,0.0,0.006371681415929204,0.0035398230088495575,0.016460176991150443,0.07506361323155217,27,3,0.015267175572519083,54
human,15.387401960978698,4815748.105745787,4889.08437131552,20.180837708285793,19.68393505719087,18.737673873743017,22.946430313872174,20.396884046186372,22.478508158508152,61.91153033013498,8.372093023255815,0.07309644670050762,0.049746192893401014,0.0700507614213198,0.12588832487309645,0.012182741116751269,0.10253807106598985,0.06395939086294417,0.2416243654822335,0.12690355329949238,0.03350253807106599,0.03959390862944162,0.014213197969543147,0.015228426395939087,0.0040609137055837565,0.027411167512690356,3.2716643159616554,1.241583811313906,0.4568892265542305,0.10279477671148435,0.6354401727162656,0.5903833617524403,6.7622377622377625,5.0,4.256558973292802,19.953488372093023,17.0,13.327630833918445,2.3298368298368297,2.0,1.545599127636978,858,465,0.541958041958042,5929,43,True,427.0,0.8588832487309644,6.019289340101523,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015622697126013265,0.0,0.0,0.0,0.0,0.0,0.005158437730287398,0.007663964627855564,0.0,0.03857868020304569,31,6,,40
continue,13.109650002860098,493683.5495053873,552.218735464639,23.503571428571405,19.385571784823657,17.958156106172098,21.752808455052843,19.854327277045478,22.27022443890274,60.61643510271939,7.928571428571429,0.053691275167785234,0.06152125279642058,0.09843400447427293,0.1029082774049217,0.025727069351230425,0.10067114093959731,0.07494407158836688,0.22706935123042504,0.1185682326621924,0.015659955257270694,0.050335570469798654,0.01901565995525727,0.003355704697986577,,0.03355704697986577,3.2211026189205993,0.7752566427023719,0.4795339969174561,0.0824934565891215,0.7365580942572617,0.7236384287476539,6.738154613466334,6.0,4.332072075216747,19.095238095238095,18.0,6.11714812096183,2.3329177057356607,2.0,1.6846494017135991,802,359,0.4476309226932668,5496,42,True,404.0,0.8803131991051454,6.147651006711409,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199074812569788,0.04689743180730579,0.04689743180730579,0.04689743180730579,0.04689743180730579,0.023608230977827403,0.01244217578561174,0.004785452225235284,0.0185037486042431,0.016778523489932886,21,5,0.0145413870246085,40
create,11.676415974046662,117761.41784882253,126.08288848910335,14.822860962566864,20.06126816194104,17.572473689322443,22.176668077302864,20.82902454506982,24.938848920863304,61.556778106926224,7.392156862745098,0.048179871520342615,0.032119914346895075,0.07494646680942184,0.10706638115631692,0.008565310492505354,0.10278372591006424,0.10171306209850108,0.2580299785867238,0.12205567451820129,0.022483940042826552,0.035331905781584586,0.011777301927194861,0.004282655246252677,,0.035331905781584586,2.658499191801809,0.8672157611450728,0.4978425747957115,0.0976743648305475,0.4878587784618139,0.5753909049137514,7.23621103117506,6.0,4.769566091760055,16.352941176470587,16.0,7.059477093926792,2.4808153477218227,2.0,1.6936165401554708,834,386,0.4628297362110312,6135,51,True,353.0,0.8522483940042827,6.5685224839400425,934.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0966106604866744,0.03563151796060255,0.017960602549246814,0.0,0.0,0.0,0.02708574739281576,0.009849362688296639,0.0056488991888760135,0.05353319057815846,16,2,0.035331905781584586,40
explain,13.832942316501088,1017584.5783207739,1123.1617862260198,24.978587711680433,18.50436301549777,17.634086237314424,21.85657998423956,18.767280535855,21.9075061728395,60.07354872603099,7.382978723404255,0.056291390728476824,0.05408388520971302,0.08940397350993377,0.10596026490066225,0.025386313465783666,0.09492273730684327,0.0695364238410596,0.23620309050772628,0.12582781456953643,0.011037527593818985,0.05187637969094923,0.017660044150110375,0.0033112582781456954,0.005518763796909493,0.03532008830022075,3.003141460353054,0.7951943910266213,0.47892921502260366,0.07971736420210468,0.6673688081133625,0.6433858354886373,6.704938271604938,6.0,4.124075690967805,17.23404255319149,16.0,5.936589629048074,2.319753086419753,2.0,1.497398546870367,810,381,0.4703703703703704,5527,47,True,411.0,0.8752759381898455,6.100441501103753,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10961294416243655,0.08677030456852793,0.017766497461928935,0.017766497461928935,0.017766497461928935,0.0,0.007614213197969543,0.003965736040609137,0.01903553299492386,0.04525386313465784,13,3,0.017660044150110375,40
human,17.707275199434974,48997272.90053491,37517.05428831157,42.02567056074767,13.260346825628417,14.261044593591123,16.09431545013687,12.233924993399754,14.832674976030678,46.851320744229994,4.797101449275362,0.042879019908116385,0.03139356814701378,0.043644716692189896,0.17457886676875958,0.0038284839203675345,0.10183767228177641,0.04823889739663093,0.19831546707503828,0.0995405819295559,0.1324655436447167,0.02679938744257274,0.005359877488514548,0.036753445635528334,0.03905053598774885,0.015313935681470138,2.5924612992566307,1.4451661736217383,0.4056718193441764,0.1409169317524981,0.32357623150250325,0.33166065261657557,5.542665388302972,4.0,3.890501670794028,15.115942028985508,12.0,16.223561531003686,1.9453499520613615,1.0,1.3172958687467866,1043,387,0.3710450623202301,6044,69,False,407.0,0.7297090352220521,4.627871362940276,1306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14733719451899985,0.14281678203136036,0.09069077553326742,0.07091397089984461,0.010453453877666337,0.010453453877666337,0.014126289023873428,0.02599237180392711,0.02797005226726939,0.05972434915773354,19,6,,41
