persona,entropy,perplexity,per_word_perplexity,pos_prop_PROPN,pos_prop_ADP,pos_prop_AUX,pos_prop_ADJ,pos_prop_PART,pos_prop_VERB,pos_prop_NOUN,pos_prop_ADV,pos_prop_PUNCT,pos_prop_CCONJ,pos_prop_DET,pos_prop_NUM,pos_prop_PRON,pos_prop_SCONJ,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,first_order_coherence,second_order_coherence,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_ellipsis,proportion_bullet_points,contains_lorem ipsum,duplicate_line_chr_fraction,duplicate_paragraph_chr_fraction,duplicate_ngram_chr_fraction_5,duplicate_ngram_chr_fraction_6,duplicate_ngram_chr_fraction_7,duplicate_ngram_chr_fraction_8,duplicate_ngram_chr_fraction_9,duplicate_ngram_chr_fraction_10,top_ngram_chr_fraction_2,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,oov_ratio,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,connectives,connectives_cap,pos_prop_SPACE,file,pos_prop_SYM,pos_prop_X,pos_prop_INTJ
create,16.851418281024017,20819867.99897265,27286.851899046724,0.07863695937090433,0.11402359108781127,0.035386631716906945,0.10353866317169069,0.022280471821756225,0.11926605504587157,0.2503276539973788,0.019659239842726082,0.11402359108781127,0.022280471821756225,0.05111402359108781,0.00655307994757536,0.02490170380078637,0.015727391874180863,27.67343609865472,15.33509021994448,16.69955669828396,19.00407858210549,19.248132607303013,18.830014947683107,67.54009182148195,10.428571428571429,0.8418556231039541,0.8547312433903034,6.100149476831091,6.0,3.217638696597557,23.892857142857142,22.5,6.510098121458724,1.8310911808669657,1.0,1.0657834325130893,669,386,0.5769805680119582,4179,28,True,226.0,0.8571428571428571,5.477064220183486,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006877865777407253,0.0025010421008753647,0.0,0.027522935779816515,2.750670826222097,0.42640070354692483,0.4810694909194986,0.07432289567454886,10,1,0.022280471821756225,68,,,
explain,22.41326034026013,5419450916.027837,5604395.983482768,0.02481902792140641,0.12409513960703206,0.027921406411582212,0.09824198552223372,0.022750775594622543,0.1375387797311272,0.25853154084798347,0.04963805584281282,0.09927611168562564,0.022750775594622543,0.0641158221302999,0.015511892450879007,0.03412616339193381,0.020682523267838676,38.401259706643685,13.486212251941328,14.703951732595929,16.29626525329718,17.923446320719826,17.983887587822014,65.91630716134598,9.763157894736842,0.842220346669893,0.8576989306343926,5.969555035128805,6.0,3.011921751262791,22.473684210526315,19.5,8.671601691745131,1.721311475409836,1.0,0.9456371723685943,854,415,0.4859484777517564,5226,38,True,351.0,0.8872802481902792,5.404343329886246,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043635764860859544,0.009550469290301334,0.0,0.0,0.0,0.0,0.021406224271365057,0.010703112135682528,0.0,0.001034126163391934,2.9512362417992817,0.6037616987164283,0.46096927640058855,0.07015313334168277,24,4,,68,,,
human,22.673013096090134,7026911368.541803,9759599.122974727,0.0625,0.12222222222222222,0.0763888888888889,0.0875,0.043055555555555555,0.08888888888888889,0.15833333333333333,0.044444444444444446,0.07361111111111111,0.022222222222222223,0.10972222222222222,0.008333333333333333,0.07777777777777778,0.02361111111111111,62.1962115074911,9.881328388072813,11.895585502441453,12.946581425991901,11.455934800644187,10.557216338880483,45.83090137133376,5.225806451612903,0.8000843167304993,0.7904422694239123,4.718608169440242,4.0,2.8229824893939637,21.322580645161292,22.0,10.529182478371775,1.453857791225416,1.0,0.8157328389226374,661,288,0.4357034795763994,3183,31,True,383.0,0.9194444444444444,4.420833333333333,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014358974358974359,0.0,0.0,0.0,0.0,0.0,0.02,0.006923076923076923,0.0,0.0,2.5998542092265966,0.7824273694741593,0.431054389486287,0.09866681279186279,28,5,,6,0.001388888888888889,,
continue,19.666113604955125,347443842.27830845,440359.74940216535,0.043092522179974654,0.10012674271229405,0.03802281368821293,0.09125475285171103,0.024081115335868188,0.1267427122940431,0.2674271229404309,0.03802281368821293,0.08745247148288973,0.03929024081115336,0.08365019011406843,0.0025348542458808617,0.026615969581749048,0.031685678073510776,29.597763500931137,15.060178770949722,16.80791676169397,19.1556052141527,17.809492551210433,17.048994413407822,64.6487895716946,9.733333333333333,0.8633601521623546,0.8635053187608719,5.7974860335195535,5.0,3.1498061204102155,23.866666666666667,24.0,9.058084173206215,1.808659217877095,1.0,1.0308010071152334,716,333,0.4650837988826816,4226,30,True,311.0,0.9100126742712294,5.356147021546261,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008901476835929597,0.0,0.0,0.0,0.0,0.0,0.007080720210398544,0.02184907950637265,0.0,0.0012674271229404308,2.7567941030123024,0.8481553637182295,0.47812932465308294,0.1101406803931589,26,4,,6,,,
create,15.846566582890775,7622131.270833573,10601.017066527918,0.055632823365785816,0.1168289290681502,0.03894297635605007,0.10570236439499305,0.022253129346314324,0.14186369958275383,0.24061196105702365,0.031988873435326845,0.08762169680111266,0.027816411682892908,0.06397774687065369,0.0013908205841446453,0.022253129346314324,0.02642559109874826,35.48687018489986,14.067824675324676,15.579741850924794,17.46865507373982,17.584694034778778,17.16104776579353,64.472870349989,9.571428571428571,0.850197935545886,0.8555439756466792,5.822804314329738,6.0,2.9418143977690527,23.178571428571427,24.5,8.154987831420243,1.7473035439137135,1.0,0.9778421742400035,649,369,0.5685670261941448,3856,28,True,250.0,0.8956884561891516,5.3630041724617525,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007371007371007371,0.0,0.0,0.016689847009735744,2.6159531460912935,0.3920333762665939,0.487697245235159,0.05800304559929525,24,8,0.016689847009735744,6,,,
explain,15.76660346688757,7036373.495202476,11688.328065120393,0.09136212624584718,0.11794019933554817,0.04152823920265781,0.09800664451827243,0.03322259136212625,0.09800664451827243,0.19102990033222592,0.03820598006644518,0.08139534883720931,0.03156146179401993,0.08803986710963455,0.008305647840531562,0.03820598006644518,0.024916943521594685,47.949805374183825,12.702944081700988,13.535368456167088,15.250259501088232,16.577373179306882,15.042946593001844,60.777582454378035,8.909090909090908,0.8613060258683705,0.8621840178966522,5.449355432780847,5.0,3.035200872415912,24.681818181818183,25.5,12.40376175944717,1.5819521178637201,1.0,0.8774892303936502,543,236,0.43462246777163904,3027,22,True,256.0,0.8953488372093024,5.028239202657807,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486166007905138,0.07340485601355166,0.05759457933370977,0.05759457933370977,0.028232636928289104,0.0,0.0220214568040655,0.006775832862789385,0.0220214568040655,0.018272425249169437,2.840191905109702,0.7461544786778173,0.4777308979461586,0.06115707633557092,25,8,0.016611295681063124,6,0.0016611295681063123,,
human,16.693649598017522,17781152.358563725,28541.17553541529,0.10914927768860354,0.09470304975922954,0.04654895666131621,0.09791332263242375,0.024077046548956663,0.10272873194221509,0.21829855537720708,0.02247191011235955,0.11075441412520064,0.038523274478330656,0.06902086677367576,0.014446227929373997,0.033707865168539325,0.01765650080256822,50.75453340535154,12.356909589496428,13.88584557914918,15.649293667940833,16.23088582350008,14.505667276051181,59.232923383746055,8.545454545454545,0.7248344167712188,0.7666163995862008,5.356489945155393,5.0,2.882045682130017,24.863636363636363,26.5,11.932748881450937,1.546617915904936,1.0,0.8197306856360527,547,327,0.5978062157221207,3012,22,True,234.0,0.8780096308186196,4.834670947030498,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037251655629139076,0.019867549668874173,0.0,0.011235955056179775,2.84724677463087,1.1438683107871648,0.40286660175405514,0.14266746790888155,14,5,,54,,,
continue,16.344171015737366,12536701.44291369,19228.069697720384,0.032208588957055216,0.11809815950920245,0.03834355828220859,0.12116564417177914,0.027607361963190184,0.1165644171779141,0.2684049079754601,0.02607361963190184,0.09969325153374232,0.027607361963190184,0.0705521472392638,0.004601226993865031,0.023006134969325152,0.013803680981595092,38.08376211566852,13.256402849990376,15.322241378113624,17.07501123307016,16.943781372360228,17.381559792027726,63.48475511907054,9.0,0.8325455624323624,0.8473932003974914,5.878682842287695,5.0,3.110753919262137,21.37037037037037,21.0,6.153277645999059,1.7383015597920277,1.0,0.9470226403481893,577,320,0.5545927209705372,3473,27,True,231.0,0.8803680981595092,5.326687116564417,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016069221260815822,0.010877626699629172,0.0,0.0,0.0,0.0,0.005933250927070457,0.008158220024721878,0.011124845488257108,0.012269938650306749,2.636706623850225,0.4370377430830455,0.4869173715904371,0.050126435028374175,19,4,0.012269938650306749,54,,,
create,14.099025395946226,1327788.5818707105,1929.9252643469629,0.05377906976744186,0.11482558139534883,0.02616279069767442,0.11482558139534883,0.024709302325581394,0.11773255813953488,0.25290697674418605,0.0436046511627907,0.09156976744186046,0.01744186046511628,0.059593023255813955,0.01744186046511628,0.027616279069767442,0.020348837209302327,29.364828340501276,16.08562731721786,16.96248456909095,19.563072816253893,20.74645113450986,18.398499184339304,70.1148598546641,11.772727272727273,0.8541421805109296,0.8391001909971237,5.99673735725938,6.0,3.1076376666846564,27.863636363636363,26.0,12.04270980735367,1.7634584013050572,1.0,1.0062621773871154,613,393,0.6411092985318108,3760,22,True,219.0,0.876453488372093,5.465116279069767,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068997240110395585,0.0,0.0,0.0188953488372093,2.9919831479751395,0.5291710935604583,0.4883099752535134,0.06462471359206697,16,2,0.01744186046511628,54,,,
explain,16.472182072985284,14248783.220317667,21787.130306296127,0.07339449541284404,0.13302752293577982,0.0382262996941896,0.09174311926605505,0.01529051987767584,0.10091743119266056,0.25076452599388377,0.03211009174311927,0.10397553516819572,0.02599388379204893,0.0764525993883792,0.009174311926605505,0.019877675840978593,0.01529051987767584,38.86250103092786,13.622189690721651,15.748969000904882,17.69687972508591,17.571701030927834,17.08707903780068,63.48618556701031,9.36,0.8215452954173088,0.8101060364557349,5.809278350515464,5.0,3.1212138292468548,23.28,21.0,9.812318788135656,1.7061855670103092,1.0,0.9621333433448199,582,317,0.5446735395189003,3457,25,True,230.0,0.8746177370030581,5.2859327217125385,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04288207429568686,0.0,0.0,0.0,0.0,0.0,0.04487658937920718,0.01795063575168287,0.0,0.016819571865443424,2.917487336877756,0.6079517211580374,0.47517971314264007,0.05154922421059659,14,2,0.012232415902140673,54,0.0015290519877675841,,
human,25.151827377753996,83810771784.42986,102458156.21568441,0.0647921760391198,0.1295843520782396,0.04523227383863081,0.11613691931540342,0.012224938875305624,0.0843520782396088,0.22249388753056235,0.037897310513447434,0.10880195599022005,0.028117359413202935,0.10880195599022005,0.0024449877750611247,0.023227383863080684,0.01589242053789731,49.831617647058835,11.606176470588238,14.082790957309104,15.425963488843815,14.30195780933063,14.109682758620693,56.22008113590263,7.4411764705882355,0.861921534393773,0.864955423399806,5.3227586206896556,5.0,2.8921950815966566,21.323529411764707,20.0,8.44609407894036,1.6,1.0,0.9127450072587974,725,355,0.4896551724137931,3952,34,True,321.0,0.8850855745721271,4.831295843520782,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530044275774826,0.015180265654648957,0.015180265654648957,0.0,0.0,0.0,0.010541851149061775,0.008855154965211892,0.01265022137887413,0.0012224938875305623,2.7894065454210604,0.7188261474806193,0.4739871935886582,0.06779952614482877,21,6,,40,,,
continue,17.106433335258917,26867645.073109493,36455.42072335073,0.031207598371777476,0.13025780189959293,0.033921302578018994,0.13568521031207598,0.013568521031207599,0.1112618724559023,0.2510176390773406,0.032564450474898234,0.08819538670284939,0.032564450474898234,0.06241519674355495,0.008141112618724558,0.031207598371777476,0.018995929443690638,27.8991547085202,14.90789686098655,16.728156217252725,19.0844245142003,17.796950672645742,17.924125560538112,66.39566517189836,9.833333333333334,0.8612850616718161,0.8505813245262418,5.961136023916293,6.0,3.147350307176885,22.3,21.5,7.457211275000863,1.8475336322869955,1.0,1.0449168228412307,669,332,0.4962630792227205,4056,30,True,252.0,0.8846675712347354,5.503392130257802,737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013654789844250054,0.013654789844250054,0.0,0.0,0.0,0.0,0.008320887561339876,0.01088116065713676,0.0,0.018995929443690638,2.7873886028182144,0.4684489458453329,0.4786460136011538,0.058668111709429094,25,7,0.017639077340569877,40,0.0013568521031207597,,
create,12.733292882794949,338843.24754265015,568.5289388299499,0.026845637583892617,0.12248322147651007,0.028523489932885907,0.14261744966442952,0.016778523489932886,0.1040268456375839,0.25838926174496646,0.03523489932885906,0.09060402684563758,0.030201342281879196,0.07550335570469799,0.0050335570469798654,0.030201342281879196,0.015100671140939598,30.268030303030343,15.135319865319868,16.52667757954773,18.781144781144782,18.753838383838378,17.838518518518516,66.3973063973064,10.272727272727273,0.8510513674645197,0.8476204425096512,5.925925925925926,6.0,3.0529393962992444,24.545454545454547,25.0,7.992765323757552,1.7925925925925925,1.0,1.0135840062485735,540,313,0.5796296296296296,3258,22,True,205.0,0.8909395973154363,5.466442953020135,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007152317880794702,0.0,0.0,0.016778523489932886,2.8499739897753535,0.4931507845532476,0.4595635211580152,0.06069718128094142,19,3,0.016778523489932886,40,,,0.0016778523489932886
explain,14.66736315221215,2343985.2856637943,3959.4346041618146,0.05912162162162162,0.13175675675675674,0.016891891891891893,0.14020270270270271,0.015202702702702704,0.10810810810810811,0.24324324324324326,0.02364864864864865,0.11148648648648649,0.03547297297297297,0.06418918918918919,0.006756756756756757,0.02027027027027027,0.008445945945945946,40.906110340041664,13.470846634281749,15.062637766997835,16.85551700208189,16.41105655794587,15.330916030534343,63.89451769604442,9.545454545454545,0.8419381834211803,0.8422746181488037,5.505725190839694,5.0,2.7790735263641264,23.818181818181817,24.5,6.042548857412315,1.6755725190839694,1.0,0.9004317542032952,524,279,0.5324427480916031,2954,22,True,194.0,0.8699324324324325,4.989864864864865,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007821552723059096,0.015643105446118192,0.0,0.016891891891891893,2.866884024612602,0.42889047430631017,0.4936845301119306,0.05521869424244719,18,2,0.015202702702702704,40,,,
human,27.362111227883087,764212117193.0907,873385276.7921036,0.05942857142857143,0.08914285714285715,0.056,0.060571428571428575,0.02857142857142857,0.10971428571428571,0.14971428571428572,0.054857142857142854,0.13028571428571428,0.022857142857142857,0.08,0.010285714285714285,0.11542857142857142,0.030857142857142857,77.25015272969378,6.215869241011983,9.840057353463067,9.68309986684421,7.077443408788284,8.442663115845537,34.727057256990676,2.96,0.7075442458902087,0.6863319414357344,4.458055925432756,4.0,2.4690976269505747,15.02,14.5,8.734964224311396,1.351531291611185,1.0,0.7087016119072278,751,381,0.507323568575233,3482,50,True,440.0,0.8628571428571429,3.9794285714285715,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006448641179180101,0.0,0.0,0.0,0.0,0.0,0.005757715338553662,0.0,0.0,0.0034285714285714284,2.4456488373516554,0.8167613619906946,0.43945987544401144,0.09575038300338803,45,9,,41,,,0.002285714285714286
continue,25.690312283575608,143602123861.87042,148810491.0485704,0.007253886010362694,0.09533678756476684,0.06528497409326425,0.0538860103626943,0.027979274611398965,0.12020725388601036,0.20207253886010362,0.06217616580310881,0.1077720207253886,0.043523316062176166,0.07461139896373056,0.0031088082901554403,0.11917098445595854,0.017616580310880828,69.9294791569087,7.748717564402806,10.400238934169804,10.625911007025762,9.893384074941451,10.909929742388762,41.08468384074941,4.1,0.801247779203921,0.7847335984309515,4.837236533957846,4.0,2.5617378922053713,17.08,15.5,6.773005241397647,1.4133489461358313,1.0,0.7442895973344613,854,403,0.4718969555035129,4247,50,True,477.0,0.8901554404145078,4.401036269430052,965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009398864303896613,0.0,0.0,0.0,0.0,0.0,0.008811435284903074,0.005286861170941844,0.0,0.004145077720207254,2.5566033909331205,0.4977353837877869,0.45588198275398994,0.07079300940286208,27,6,,41,,,
