system,file,TTR,Yules,MTLD
continue,98.txt,78.79440258342304,60819.977298524405,1155.6813333333334
continue,99.txt,87.99283154121864,81722.37288135593,1046.6231325301203
create,1.txt,84.99156829679595,64635.114503816796,747.4569754287078
create,10.txt,88.90469416785206,109726.12359550562,1001.2094398221443
create,100.txt,89.73384030418251,162221.35922330097,1222.3547925716387
create,11.txt,89.57219251336899,144806.4516129032,1811.1924444444442
create,12.txt,85.59027777777779,65160.589812332444,940.811914893617
create,13.txt,82.88288288288288,146845.30120481926,1462.8204062293128
create,14.txt,84.33098591549296,56098.04400977995,651.6038191281717
create,15.txt,85.6418918918919,74077.52161383285,753.139574130196
create,16.txt,88.92543859649122,151898.6143187067,1392.4889009477229
create,17.txt,88.75638841567292,90480.33333333333,1228.5000000000005
create,18.txt,87.96147672552166,99110.23102310231,744.9619603412204
create,19.txt,88.37920489296636,96556.06936416186,930.0934966566067
create,2.txt,86.41390205371248,79576.86170212766,806.9305978003342
create,20.txt,86.58088235294117,62844.475920679884,407.31821064062285
create,21.txt,88.87262079062957,122002.98013245034,1496.9508045977013
create,22.txt,87.74080560420316,89007.44680851063,1103.4938271604944
create,23.txt,88.42380640941792,270800.5925925926,3506.029837837839
create,24.txt,89.44,96444.75308641976,1393.2835897435903
create,25.txt,88.02488335925351,87290.46321525886,897.9305790624863
create,26.txt,90.76086956521739,113575.11312217196,1383.4799999999996
create,27.txt,84.54198473282443,57890.5604719764,778.5257142857143
create,28.txt,85.26148969889064,74407.19794344473,630.3589321063725
create,29.txt,83.47529812606473,57303.102625298336,635.1825156437765
create,3.txt,88.1437125748503,146801.0840108401,1697.5913043478265
create,30.txt,88.05970149253731,85032.06106870229,1036.930909090909
create,31.txt,85.71428571428571,95619.51219512196,863.6726488974589
create,32.txt,89.22237380627558,145978.15699658703,1595.0769230769233
create,33.txt,86.42765685019207,115640.86294416242,1037.446705657675
create,34.txt,84.62757527733757,63509.131403118045,748.0414068209501
create,35.txt,88.22674418604652,121600.3300330033,1368.1828571428575
create,36.txt,87.65432098765432,93223.97260273973,992.705582847627
create,37.txt,79.6044499381953,46339.217877094976,589.1727573497443
create,38.txt,88.11700182815356,75675.57003257329,1019.2311111111117
create,39.txt,86.1654135338346,83332.23350253807,825.864892724697
create,4.txt,85.11326860841424,60941.850220264314,700.3004005112912
create,40.txt,88.64933417882055,299296.17151607963,3664.9479999999985
create,41.txt,83.43949044585987,109151.23674911661,1049.122577010812
