feature,persona,test,t-statistic,pvalue,bon,bh,reject
n_unique_tokens,human-ashuman,mannwhitneyu,6909.0,1.0104719007966851e-29,7.174350495656465e-28,5.75649844229505e-05,True
flesch_kincaid_grade,human-asmachine,t-test,-12.036146983584173,1.1431321106210588e-28,8.116237985409517e-27,3.688000888978262e-05,True
top_ngram_chr_fraction_4,human-asmachine,mannwhitneyu,31177.5,1.278747012446105e-28,9.079103788367346e-27,0.0001627586376730221,True
pos_prop_VERB,human-ashuman,mannwhitneyu,7257.0,3.0079214958256494e-28,2.135624262036211e-26,0.0001308976255519348,True
top_ngram_chr_fraction_3,human-ashuman,mannwhitneyu,32399.0,8.589518172615254e-28,6.098557902556831e-26,0.0005101543092443316,True
flesch_reading_ease,human-asmachine,mannwhitneyu,32618.0,9.941902850650065e-28,7.058751023961547e-26,0.015962377369794296,True
oov_ratio,human-asmachine,mannwhitneyu,7621.5,9.205834332219494e-27,6.536142375875841e-25,0.047493529203056856,True
gunning_fog,human-asmachine,t-test,-11.470968107607392,1.6394896343297757e-26,1.1640376403741409e-24,0.12732999917538326,True
prop_adjacent_dependency_relation_mean,human-asmachine,t-test,-11.382325066475735,3.535291780891564e-26,2.5100571644330104e-24,0.15727519765409068,True
syllables_per_token_mean,human-asmachine,mannwhitneyu,7794.0,4.7106363035652004e-26,3.3445517755312925e-24,0.17501882332280444,True
syllables_per_token_mean,human-ashuman,mannwhitneyu,7883.0,1.0662490997878365e-25,7.57036860849364e-24,0.22726203119472577,True
top_ngram_chr_fraction_4,human-ashuman,mannwhitneyu,30667.0,1.6684021957842272e-25,1.1845655590068013e-23,0.28676759427374743,True
dependency_distance_std,human-ashuman,mannwhitneyu,32051.0,1.9467476520210352e-25,1.382190832934935e-23,0.3891755959412054,True
n_sentences,human-ashuman,mannwhitneyu,31966.5,3.766393053846297e-25,2.6741390682308706e-23,0.3825793993998293,True
sentence_length_median,human-ashuman,t-test,-10.379271066356617,1.700696033091387e-22,1.2074941834948847e-20,0.5404329690000441,True
syllables_per_token_median,human-asmachine,t-test,-10.209809547218946,6.830603446912218e-22,4.8497284473076744e-20,,True
sentence_length_mean,human-ashuman,t-test,-9.857176089464613,1.1821974523235936e-20,8.393601911497515e-19,,True
syllables_per_token_median,human-ashuman,t-test,-9.84476045200434,1.3056413321838289e-20,9.270053458505186e-19,,True
pos_prop_ADJ,human-ashuman,mannwhitneyu,9439.5,6.611880192200401e-20,4.694434936462285e-18,,True
dependency_distance_std,human-asmachine,mannwhitneyu,30139.0,1.7987012465002614e-18,1.2770778850151856e-16,,True
first_order_coherence,human-ashuman,mannwhitneyu,9883.0,2.1294654021687254e-18,1.511920435539795e-16,,True
duplicate_ngram_chr_fraction_6,human-ashuman,mannwhitneyu,28141.0,6.963414048716146e-18,4.944023974588464e-16,,True
syllables_per_token_std,human-asmachine,mannwhitneyu,10231.0,2.932698987873053e-17,2.082216281389868e-15,,True
token_length_std,human-asmachine,mannwhitneyu,10285.0,4.3704552025941e-17,3.103023193841811e-15,,True
duplicate_ngram_chr_fraction_6,human-asmachine,mannwhitneyu,27870.0,1.6983141730782693e-16,1.2058030628855712e-14,,True
syllables_per_token_std,human-ashuman,mannwhitneyu,10484.0,1.8661553054863992e-16,1.3249702668953434e-14,,True
second_order_coherence,human-ashuman,mannwhitneyu,10582.0,3.7734786512836216e-16,2.6791698424113713e-14,,True
oov_ratio,human-ashuman,mannwhitneyu,11100.0,1.3634248904731837e-14,9.680316722359605e-13,,True
doc_length,human-ashuman,mannwhitneyu,28533.5,1.5749458030188538e-13,1.1182115201433863e-11,,True
n_sentences,human-asmachine,mannwhitneyu,28091.5,2.476200007931006e-12,1.7581020056310142e-10,,True
pos_prop_NOUN,human-ashuman,mannwhitneyu,12001.0,4.572147023094975e-12,3.2462243863974323e-10,,True
pos_prop_VERB,human-asmachine,mannwhitneyu,12188.5,1.4177004401225332e-11,1.0065673124869985e-09,,True
duplicate_ngram_chr_fraction_7,human-ashuman,mannwhitneyu,25155.0,3.6101402593193556e-11,2.5631995841167424e-09,,True
token_length_std,human-ashuman,mannwhitneyu,12589.0,1.4583097009384962e-10,1.0353998876663323e-08,,True
doc_length,human-asmachine,mannwhitneyu,27364.5,1.8962117153813227e-10,1.3463103179207392e-08,,True
duplicate_ngram_chr_fraction_7,human-asmachine,mannwhitneyu,25009.0,1.9878018275580144e-10,1.4113392975661903e-08,,True
sentence_length_median,human-asmachine,t-test,-6.401018943204592,4.348300317302394e-10,3.0872932252847e-08,,True
pos_prop_ADJ,human-asmachine,mannwhitneyu,12968.5,1.1911632266303224e-09,8.457258909075289e-08,,True
sentence_length_mean,human-asmachine,t-test,-5.804207028636075,1.3222440244713864e-08,9.387932573746843e-07,,True
dependency_distance_mean,human-asmachine,t-test,5.699520080447128,2.3422326954451387e-08,1.6629852137660484e-06,,True
first_order_coherence,human-asmachine,mannwhitneyu,13563.0,2.588387386934396e-08,1.837755044723421e-06,,True
sentence_length_mean,ashuman-asmachine,t-test,4.667034105044611,4.181954058152275e-06,0.00029691873812881156,,True
oov_ratio,ashuman-asmachine,mannwhitneyu,14696.0,4.488354394793419e-06,0.00031867316203033273,,True
second_order_coherence,human-asmachine,mannwhitneyu,14723.0,5.021636986019589e-06,0.0003565362260073908,,True
n_characters,human-asmachine,mannwhitneyu,14795.0,6.743986170944128e-06,0.0004788230181370331,,True
duplicate_ngram_chr_fraction_8,human-asmachine,mannwhitneyu,22645.0,6.911747230662435e-06,0.0004907340533770329,,True
duplicate_ngram_chr_fraction_8,human-ashuman,mannwhitneyu,22631.0,7.72798962650239e-06,0.0005486872634816696,,True
pos_prop_VERB,ashuman-asmachine,mannwhitneyu,24989.0,1.597629134447799e-05,0.0011343166854579372,,True
duplicate_ngram_chr_fraction_9,human-asmachine,mannwhitneyu,22014.0,2.3246365311154506e-05,0.00165049193709197,,True
connectives_cap,human-asmachine,mannwhitneyu,24836.0,2.441352701154624e-05,0.001733360417819783,,True
sentence_length_median,ashuman-asmachine,t-test,4.267171532930532,2.4768503756316515e-05,0.0017585637666984726,,True
dependency_distance_mean,human-ashuman,mannwhitneyu,24768.0,3.7295623710643985e-05,0.0026479892834557228,,True
n_stop_words,ashuman-asmachine,mannwhitneyu,24731.5,4.271858363811595e-05,0.0030330194383062325,,True
n_tokens,human-ashuman,mannwhitneyu,24633.5,6.140266056230336e-05,0.004359588899923539,,True
pos_prop_ADP,ashuman-asmachine,mannwhitneyu,24580.5,7.449602720722161e-05,0.0052892179317127344,,True
duplicate_ngram_chr_fraction_9,human-ashuman,mannwhitneyu,21909.0,8.336213880430647e-05,0.00591871185510576,,True
pos_prop_ADP,human-ashuman,mannwhitneyu,15473.0,9.033779791612401e-05,0.006413983652044805,,True
pos_prop_ADJ,ashuman-asmachine,mannwhitneyu,24483.5,0.000105513185649732,0.007491436181130972,,True
duplicate_ngram_chr_fraction_10,human-asmachine,mannwhitneyu,21606.5,0.00011003400856767692,0.007812414608305061,,True
pos_prop_NOUN,human-asmachine,mannwhitneyu,15677.5,0.0001852738948650053,0.013154446535415375,,False
second_order_coherence,ashuman-asmachine,mannwhitneyu,24300.0,0.0002001472258998679,0.014210453038890621,,False
n_sentences,ashuman-asmachine,mannwhitneyu,15708.5,0.00020084241415837913,0.014259811405244918,,False
pos_prop_NOUN,ashuman-asmachine,mannwhitneyu,24234.0,0.00025050289051912133,0.017785705226857615,,False
first_order_coherence,ashuman-asmachine,mannwhitneyu,24190.0,0.0002904334413397672,0.02062077433512347,,False
prop_adjacent_dependency_relation_std,human-ashuman,mannwhitneyu,24126.0,0.0003592635980593885,0.02550771546221658,,False
connectives,ashuman-asmachine,mannwhitneyu,23783.5,0.001049711384343066,0.0745295082883577,,False
rix,ashuman-asmachine,t-test,3.2898605447907427,0.0010916663866891005,0.07750831345492613,,False
n_tokens,human-asmachine,mannwhitneyu,23762.5,0.0011380240725586254,0.0807997091516624,,False
duplicate_ngram_chr_fraction_10,human-ashuman,mannwhitneyu,21412.5,0.0012211907681249396,0.08670454453687071,,False
token_length_std,ashuman-asmachine,mannwhitneyu,16278.0,0.001286867477687518,0.09136759091581377,,False
pos_prop_PRON,ashuman-asmachine,mannwhitneyu,23586.0,0.0019269773103622143,0.13681538903571722,,False
n_characters,human-ashuman,mannwhitneyu,16436.0,0.002054509453110403,0.14587017117083861,,False
prop_adjacent_dependency_relation_std,ashuman-asmachine,mannwhitneyu,16489.0,0.0023943019746750518,0.16999544020192867,,False
yules_k,ashuman-asmachine,mannwhitneyu,16524.0,0.0026460767205039116,0.18787144715577772,,False
sentence_length_std,human-ashuman,mannwhitneyu,16564.0,0.0029633131395137395,0.21039523290547552,,False
flesch_kincaid_grade,ashuman-asmachine,t-test,2.886980667311677,0.004101667640874263,0.2912184025020727,,False
gunning_fog,ashuman-asmachine,t-test,2.829231906709053,0.0049021446311621995,0.34805226881251616,,False
connectives_cap,human-ashuman,mannwhitneyu,23175.5,0.005546107210624995,0.3937736119543746,,False
pos_prop_PUNCT,ashuman-asmachine,t-test,-2.5911078520381015,0.009918399413309987,0.704206358345009,,False
duplicate_line_chr_fraction,human-ashuman,t-test,-2.5502418495006687,0.011138548029142041,0.790836910069085,,False
duplicate_line_chr_fraction,human-asmachine,t-test,-2.539958319851975,0.011465933040274776,0.8140812458595091,,False
prop_adjacent_dependency_relation_mean,ashuman-asmachine,t-test,2.4664061968846562,0.014068164793609615,0.9988397003462827,,False
dependency_distance_std,ashuman-asmachine,mannwhitneyu,17184.0,0.01488140699172916,1.0,,False
type_token_ratio,ashuman-asmachine,mannwhitneyu,17307.0,0.019866200733056994,1.0,,False
automated_readability_index,ashuman-asmachine,t-test,2.3107440478496484,0.021357452460846284,1.0,,False
lix,ashuman-asmachine,t-test,2.2910184541541203,0.02248425268138382,1.0,,False
connectives,human-asmachine,mannwhitneyu,22437.5,0.03478399321914023,1.0,,False
n_unique_tokens,ashuman-asmachine,mannwhitneyu,17615.0,0.03915588422276628,1.0,,False
connectives_cap,ashuman-asmachine,mannwhitneyu,22218.0,0.05207362411055498,1.0,,False
alpha_ratio,ashuman-asmachine,mannwhitneyu,22164.5,0.0612424170510503,1.0,,False
token_length_mean,ashuman-asmachine,mannwhitneyu,17912.5,0.07105276366645298,1.0,,False
proportion_unique_tokens,ashuman-asmachine,t-test,-1.7406122176085346,0.08252441034335951,1.0,,False
pos_prop_PRON,human-asmachine,mannwhitneyu,21930.5,0.0950491543140185,1.0,,False
sentence_length_std,ashuman-asmachine,mannwhitneyu,21823.0,0.1149423831446083,1.0,,False
proportion_ellipsis,human-asmachine,t-test,-1.5597330437935266,0.11961775596226615,1.0,,False
coleman_liau_index,ashuman-asmachine,mannwhitneyu,18271.0,0.13489950014592855,1.0,,False
sentence_length_std,human-asmachine,mannwhitneyu,18274.0,0.13557796172893302,1.0,,False
doc_length,ashuman-asmachine,mannwhitneyu,18393.0,0.16466174752688034,1.0,,False
proportion_ellipsis,human-ashuman,t-test,-1.3454408631092476,0.17924892601274145,1.0,,False
mean_word_length,ashuman-asmachine,mannwhitneyu,18481.0,0.189041836170189,1.0,,False
pos_prop_ADP,human-asmachine,mannwhitneyu,21474.5,0.20233421899897486,1.0,,False
flesch_reading_ease,ashuman-asmachine,mannwhitneyu,18570.0,0.21629552684172082,1.0,,False
connectives,human-ashuman,mannwhitneyu,18614.5,0.2302218714592057,1.0,,False
top_ngram_chr_fraction_4,ashuman-asmachine,mannwhitneyu,20754.0,0.24818293529309532,1.0,,False
n_characters,ashuman-asmachine,mannwhitneyu,18827.5,0.31071774751342496,1.0,,False
duplicate_ngram_chr_fraction_10,ashuman-asmachine,mannwhitneyu,20200.5,0.3154919514676542,1.0,,False
duplicate_paragraph_chr_fraction,ashuman-asmachine,t-test,1.0000000000000004,0.3179180924590128,1.0,,False
duplicate_paragraph_chr_fraction,human-ashuman,t-test,-1.0000000000000004,0.3179180924590128,1.0,,False
proportion_bullet_points,human-ashuman,t-test,-1.0,0.3179180924590131,1.0,,False
proportion_bullet_points,ashuman-asmachine,t-test,1.0,0.3179180924590131,1.0,,False
symbol_to_word_ratio_#,human-asmachine,mannwhitneyu,20198.5,0.3203556769218966,1.0,,False
n_tokens,ashuman-asmachine,mannwhitneyu,18873.0,0.32986430340393713,1.0,,False
syllables_per_token_std,ashuman-asmachine,mannwhitneyu,18940.0,0.3594523542575109,1.0,,False
dependency_distance_mean,ashuman-asmachine,t-test,0.8828914352172978,0.3778278823551783,1.0,,False
pos_prop_PRON,human-ashuman,mannwhitneyu,19139.0,0.4567039174648261,1.0,,False
symbol_to_word_ratio_#,ashuman-asmachine,mannwhitneyu,20099.0,0.5685990935249464,1.0,,False
duplicate_ngram_chr_fraction_6,ashuman-asmachine,mannwhitneyu,19635.0,0.5764256182243278,1.0,,False
prop_adjacent_dependency_relation_std,human-asmachine,mannwhitneyu,20619.0,0.5926716953783582,1.0,,False
duplicate_ngram_chr_fraction_9,ashuman-asmachine,mannwhitneyu,20101.0,0.6514792171945485,1.0,,False
symbol_to_word_ratio_#,human-ashuman,mannwhitneyu,20099.0,0.6579690176752383,1.0,,False
duplicate_ngram_chr_fraction_7,ashuman-asmachine,mannwhitneyu,19810.5,0.6912449893624575,1.0,,False
syllables_per_token_median,ashuman-asmachine,mannwhitneyu,19664.0,0.7235976758897067,1.0,,False
syllables_per_token_mean,ashuman-asmachine,mannwhitneyu,19671.5,0.7766387979293689,1.0,,False
top_ngram_chr_fraction_3,ashuman-asmachine,mannwhitneyu,20268.0,0.7964875176171277,1.0,,False
duplicate_ngram_chr_fraction_5,ashuman-asmachine,mannwhitneyu,20203.0,0.8238190520137912,1.0,,False
duplicate_line_chr_fraction,ashuman-asmachine,mannwhitneyu,20093.0,0.8360029334332746,1.0,,False
per_word_perplexity,ashuman-asmachine,mannwhitneyu,20164.0,0.8875393475604192,1.0,,False
mtld,ashuman-asmachine,mannwhitneyu,19871.0,0.9115010324130651,1.0,,False
token_length_median,ashuman-asmachine,mannwhitneyu,20059.5,0.9556046999927323,1.0,,False
top_ngram_chr_fraction_2,ashuman-asmachine,mannwhitneyu,20061.0,0.9582663649369695,1.0,,False
entropy,ashuman-asmachine,mannwhitneyu,20039.0,0.9734350518845369,1.0,,False
perplexity,ashuman-asmachine,mannwhitneyu,20039.0,0.9734350518845369,1.0,,False
duplicate_ngram_chr_fraction_8,ashuman-asmachine,mannwhitneyu,20003.0,0.994161658770983,1.0,,False
proportion_ellipsis,ashuman-asmachine,mannwhitneyu,20002.0,0.9950832778240297,1.0,,False
pos_prop_SCONJ,human-ashuman,t-test,,,,,False
pos_prop_SCONJ,human-asmachine,t-test,,,,,False
pos_prop_SCONJ,ashuman-asmachine,t-test,,,,,False
pos_prop_X,human-ashuman,t-test,,,,,False
pos_prop_X,human-asmachine,t-test,,,,,False
pos_prop_X,ashuman-asmachine,t-test,,,,,False
pos_prop_PART,human-ashuman,t-test,,,,,False
pos_prop_PART,human-asmachine,t-test,,,,,False
pos_prop_PART,ashuman-asmachine,t-test,,,,,False
pos_prop_SYM,human-ashuman,t-test,,,,,False
pos_prop_SYM,human-asmachine,t-test,,,,,False
pos_prop_SYM,ashuman-asmachine,t-test,,,,,False
pos_prop_NUM,human-ashuman,t-test,,,,,False
pos_prop_NUM,human-asmachine,t-test,,,,,False
pos_prop_NUM,ashuman-asmachine,t-test,,,,,False
proportion_bullet_points,human-asmachine,t-test,,,,,False
duplicate_paragraph_chr_fraction,human-asmachine,t-test,,,,,False
pos_prop_ADV,human-ashuman,t-test,,,,,False
pos_prop_ADV,human-asmachine,t-test,,,,,False
pos_prop_ADV,ashuman-asmachine,t-test,,,,,False
pos_prop_AUX,human-asmachine,t-test,,,,,False
pos_prop_AUX,ashuman-asmachine,t-test,,,,,False
pos_prop_DET,human-ashuman,t-test,,,,,False
pos_prop_DET,human-asmachine,t-test,,,,,False
pos_prop_DET,ashuman-asmachine,t-test,,,,,False
pos_prop_CCONJ,human-ashuman,t-test,,,,,False
pos_prop_CCONJ,human-asmachine,t-test,,,,,False
pos_prop_CCONJ,ashuman-asmachine,t-test,,,,,False
pos_prop_PROPN,human-ashuman,t-test,,,,,False
pos_prop_PROPN,human-asmachine,t-test,,,,,False
pos_prop_PROPN,ashuman-asmachine,t-test,,,,,False
pos_prop_SPACE,human-ashuman,t-test,,,,,False
pos_prop_SPACE,human-asmachine,t-test,,,,,False
pos_prop_SPACE,ashuman-asmachine,t-test,,,,,False
