feature,persona,test,t-statistic,pvalue,bon,bh
alpha_ratio,continue-explain,mannwhitneyu,102172.5,3.3965790296698047e-09,2.445536901362259e-07,
per_word_perplexity,continue-create,mannwhitneyu,101992.0,4.708219743243418e-09,3.389918215135261e-07,
duplicate_ngram_chr_fraction_9,continue-explain,mannwhitneyu,64952.5,6.843388148033622e-09,4.927239466584208e-07,
duplicate_ngram_chr_fraction_10,continue-explain,mannwhitneyu,65938.0,7.24802785724629e-09,5.218580057217329e-07,
pos_prop_ADP,human-continue,t-test,5.840659480905897,7.525722839993188e-09,5.418520444795095e-07,
duplicate_ngram_chr_fraction_10,explain-create,mannwhitneyu,98661.5,9.859675269517299e-09,7.098966194052455e-07,
n_stop_words,human-explain,t-test,-5.724202588372565,1.4633603519691582e-08,1.0536194534177938e-06,
entropy,continue-create,mannwhitneyu,101315.0,1.5622384436130653e-08,1.124811679401407e-06,
perplexity,continue-create,mannwhitneyu,101315.0,1.5622384436130653e-08,1.124811679401407e-06,
n_stop_words,human-create,mannwhitneyu,63547.5,1.6352697876159846e-08,1.177394247083509e-06,
oov_ratio,explain-create,mannwhitneyu,101259.0,1.7220855482677433e-08,1.2399015947527752e-06,
coleman_liau_index,human-explain,mannwhitneyu,63929.0,3.1570826703925906e-08,2.2730995226826654e-06,
mtld,continue-explain,mannwhitneyu,153591.5,3.7830104154128546e-08,2.7237674990972555e-06,
pos_prop_ADJ,continue-explain,t-test,5.485072061401995,5.5269695438481696e-08,3.979418071570682e-06,
shannon_entropy,continue-explain,mannwhitneyu,64319.0,6.101677992867853e-08,4.393208154864855e-06,
syllables_per_token_mean,human-continue,mannwhitneyu,64368.0,6.62229782296302e-08,4.768054432533375e-06,
simpson_diversity,human-explain,t-test,-5.40701048769282,8.437980587063077e-08,6.075346022685415e-06,
connectives,human-continue,mannwhitneyu,65227.0,2.638309558096425e-07,1.899582881829426e-05,
prop_adjacent_dependency_relation_std,human-continue,mannwhitneyu,99498.0,3.206858949599383e-07,2.3089384437115556e-05,
duplicate_ngram_chr_fraction_8,human-continue,mannwhitneyu,67763.0,4.0638619920474687e-07,2.9259806342741776e-05,
proportion_unique_tokens,continue-explain,t-test,5.038865197148387,5.777923607436622e-07,4.160104997354368e-05,
pos_prop_ADV,explain-create,mannwhitneyu,99116.5,5.831744748404273e-07,4.198856218851076e-05,
