feature,persona,test,t-statistic,pvalue,bon,bh,reject
second_order_coherence,human-explain,t-test,-14.697365989462872,1.930909290072097e-34,1.370945595951189e-32,0.30371805553817766,True
per_word_perplexity,human-explain,mannwhitneyu,11827.0,1.977615753236463e-34,1.4041071847978888e-32,0.3767960432226639,True
dependency_distance_std,human-continue,t-test,14.686333964076459,2.0955237898896663e-34,1.487821890821663e-32,0.29191147220958047,True
first_order_coherence,human-explain,t-test,-14.655386533148599,2.6361195734845654e-34,1.8716448971740413e-32,0.5513499263976919,True
top_ngram_chr_fraction_4,human-continue,t-test,14.558962534418107,5.389126848591598e-34,3.826280062500035e-32,0.35885337449777516,True
rix,human-create,mannwhitneyu,339.0,1.0954273939920711e-33,7.777534497343704e-32,,True
perplexity,human-explain,mannwhitneyu,11752.0,1.3822778275196384e-33,9.814172575389433e-32,,True
flesch_reading_ease,human-explain,t-test,14.209503855324435,7.191790023925121e-33,5.106170916986836e-31,,True
pos_prop_CCONJ,human-continue,t-test,14.098323448458151,1.639543222739762e-32,1.164075688145231e-30,,True
pos_prop_CCONJ,human-explain,t-test,13.787074500463556,1.6443810614537103e-31,1.1675105536321344e-29,,True
pos_prop_DET,human-continue,t-test,13.454733982432002,1.9216061877709263e-30,1.3643403933173576e-28,,True
rix,human-continue,mannwhitneyu,678.5,5.3945303830838424e-30,3.830116571989528e-28,,True
sentence_length_median,human-create,t-test,-13.007866361564774,5.196541621279005e-29,3.6895445511080935e-27,,True
automated_readability_index,human-explain,mannwhitneyu,815.0,1.4248873571876626e-28,1.0116700236032404e-26,,True
syllables_per_token_mean,human-explain,t-test,-12.857304459268162,1.5740934294152193e-28,1.1176063348848057e-26,,True
first_order_coherence,human-create,t-test,-12.748934288941042,3.49167288365298e-28,2.4790877473936158e-26,,True
lix,human-explain,mannwhitneyu,883.0,7.056088992111763e-28,5.0098231843993515e-26,,True
syllables_per_token_std,human-create,t-test,-12.597975953265662,1.057668496290008e-27,7.509446323659057e-26,,True
top_ngram_chr_fraction_4,human-create,t-test,12.591664165666298,1.1077872740761162e-27,7.865289645940425e-26,,True
duplicate_ngram_chr_fraction_5,human-continue,mannwhitneyu,11085.0,1.39427889061899e-27,9.899380123394828e-26,,True
pos_prop_PUNCT,human-create,mannwhitneyu,11141.0,4.115623742814418e-27,2.9220928573982368e-25,,True
rix,human-explain,mannwhitneyu,1003.0,1.1288431673945444e-26,8.014786488501265e-25,,True
second_order_coherence,human-create,t-test,-12.199161599371559,1.9575073928077395e-26,1.389830248893495e-24,,True
pos_prop_ADJ,human-create,t-test,-12.150134997511506,2.7991637644261505e-26,1.987406272742567e-24,,True
pos_prop_AUX,human-create,t-test,12.1256092724257,3.347249558337265e-26,2.376547186419458e-24,,True
sentence_length_mean,human-create,t-test,-12.071239652071071,4.974453621710639e-26,3.531862071414554e-24,,True
pos_prop_DET,human-create,t-test,11.855389081169735,2.38983155256338e-25,1.69678040232e-23,,True
dependency_distance_mean,human-continue,t-test,11.71839161421697,6.452057914274508e-25,4.580961119134901e-23,,True
n_sentences,human-create,mannwhitneyu,10890.5,9.464820800290357e-25,6.720022768206153e-23,,True
token_length_median,human-explain,mannwhitneyu,1568.0,9.664994823736894e-25,6.862146324853195e-23,,True
flesch_kincaid_grade,human-explain,mannwhitneyu,1209.0,1.1358089450134445e-24,8.064243509595456e-23,,True
pos_prop_PUNCT,human-explain,mannwhitneyu,10888.0,1.2129663111936376e-24,8.612060809474828e-23,,True
syllables_per_token_mean,explain-create,t-test,-11.342255692918295,9.73268321841306e-24,6.910205085073272e-22,,True
top_ngram_chr_fraction_3,human-explain,mannwhitneyu,10763.0,1.2081242913315272e-23,8.577682468453844e-22,,True
flesch_reading_ease,explain-create,t-test,11.191366570632058,2.87361116367174e-23,2.0402639262069356e-21,,True
gunning_fog,human-explain,mannwhitneyu,1379.0,4.426832357527262e-23,3.143050973844356e-21,,True
pos_prop_ADJ,human-continue,t-test,-11.08077935595396,6.33893649564942e-23,4.500644911911088e-21,,True
pos_prop_ADV,human-explain,t-test,-10.890761564170582,2.4561782079982354e-22,1.743886527678747e-20,,True
top_ngram_chr_fraction_3,human-create,mannwhitneyu,10589.0,4.266005891556777e-22,3.028864183005312e-20,,True
pos_prop_NOUN,human-continue,t-test,-10.800257294285554,4.671358054804649e-22,3.3166642189113003e-20,,True
n_stop_words,human-create,mannwhitneyu,10602.5,5.2478548909098955e-22,3.725976972546026e-20,,True
top_ngram_chr_fraction_2,human-create,mannwhitneyu,10584.0,7.717536196764185e-22,5.479450699702571e-20,,True
n_unique_tokens,human-explain,mannwhitneyu,1555.0,1.707204972561701e-21,1.2121155305188077e-19,,True
duplicate_ngram_chr_fraction_5,human-create,mannwhitneyu,10497.0,1.70968180920383e-21,1.2138740845347192e-19,,True
pos_prop_AUX,human-continue,t-test,10.452316350008388,5.449165858875101e-21,3.8689077598013217e-19,,True
top_ngram_chr_fraction_2,human-explain,mannwhitneyu,10478.0,6.6547420570783836e-21,4.724866860525653e-19,,True
top_ngram_chr_fraction_2,human-continue,mannwhitneyu,10449.0,1.1894245782443638e-20,8.444914505534983e-19,,True
pos_prop_ADV,human-create,t-test,-10.332491797389332,1.2625054245932091e-20,8.963788514611785e-19,,True
syllables_per_token_std,explain-create,t-test,-10.211574262266977,2.9381511258428656e-20,2.0860872993484347e-18,,True
pos_prop_DET,human-explain,t-test,10.182439532760737,3.5995523523634916e-20,2.555682170178079e-18,,True
top_ngram_chr_fraction_3,human-continue,mannwhitneyu,10238.0,4.53058183029676e-19,3.216713099510699e-17,,True
coleman_liau_index,explain-create,t-test,-9.785574206695411,5.604602438525302e-19,3.9792677313529645e-17,,True
syllables_per_token_std,human-continue,t-test,-9.65102450860065,1.4087688266999703e-18,1.0002258669569789e-16,,True
gunning_fog,explain-create,t-test,-9.586516764424985,2.1877998408070354e-18,1.5533378869729952e-16,,True
token_length_mean,explain-create,t-test,-9.572019348044993,2.4149185528047497e-18,1.7145921724913723e-16,,True
n_stop_words,human-continue,mannwhitneyu,10125.5,5.987564759638666e-18,4.2511709793434526e-16,,True
dependency_distance_mean,human-explain,t-test,9.252494306275356,2.097673375265122e-17,1.4893480964382366e-15,,True
pos_prop_SCONJ,human-explain,mannwhitneyu,2045.0,2.1941031337836668e-17,1.5578132249864034e-15,,True
dependency_distance_mean,human-create,t-test,9.24577425470194,2.194540523902214e-17,1.5581237719705719e-15,,True
syllables_per_token_median,human-explain,t-test,-9.186244976822332,3.2716058624755715e-17,2.3228401623576556e-15,,True
lix,explain-create,t-test,-9.179278909273435,3.427863334071178e-17,2.4337829671905367e-15,,True
n_unique_tokens,human-continue,mannwhitneyu,2093.5,5.264712009424737e-17,3.737945526691564e-15,,True
flesch_kincaid_grade,explain-create,t-test,-9.096265721516628,5.970177610594733e-17,4.23882610352226e-15,,True
entropy,explain-create,t-test,8.972767761765292,1.3574571238982524e-16,9.637945579677592e-15,,True
n_unique_tokens,human-create,mannwhitneyu,2232.0,6.096374411585252e-16,4.328425832225529e-14,,True
token_length_std,explain-create,t-test,-8.721565080305483,7.1068548521295255e-16,5.0458669450119634e-14,,True
n_stop_words,explain-create,t-test,8.713332828912987,7.500359033410359e-16,5.3252549137213547e-14,,True
rix,explain-create,mannwhitneyu,2258.5,9.684688723037438e-16,6.87612899335658e-14,,True
mean_word_length,explain-create,t-test,-8.545447004958264,2.2394764364582596e-15,1.5900282698853643e-13,,True
syllables_per_token_mean,continue-explain,t-test,8.498079825117767,3.0436452408872213e-15,2.1609881210299272e-13,,True
perplexity,explain-create,mannwhitneyu,9745.0,5.023670053285454e-15,3.5668057378326723e-13,,True
sentence_length_mean,human-explain,mannwhitneyu,2363.0,5.746719871445176e-15,4.0801711087260753e-13,,True
per_word_perplexity,explain-create,mannwhitneyu,9737.0,5.747422120287503e-15,4.080669705404127e-13,,True
pos_prop_AUX,human-explain,t-test,8.340084972447954,8.41913818681574e-15,5.977588112639175e-13,,True
pos_prop_NOUN,human-explain,t-test,-8.255060096260207,1.450049354961226e-14,1.0295350420224705e-12,,True
automated_readability_index,explain-create,t-test,-8.215975265357278,1.860026624558436e-14,1.3206189034364896e-12,,True
doc_length,human-create,mannwhitneyu,9660.5,2.048235788378681e-14,1.4542474097488634e-12,,True
duplicate_ngram_chr_fraction_6,human-continue,mannwhitneyu,9269.5,5.231429772206646e-14,3.714315138266718e-12,,True
n_sentences,explain-create,mannwhitneyu,9592.0,5.2921467684198e-14,3.757424205578058e-12,,True
pos_prop_SCONJ,human-create,t-test,-7.879906502696107,1.543447893051702e-13,1.0958480040667083e-11,,True
token_length_median,explain-create,mannwhitneyu,2969.5,2.117684271407076e-13,1.503555832699024e-11,,True
sentence_length_median,human-explain,t-test,-7.780299520640437,2.864215822018697e-13,2.033593233633275e-11,,True
mean_word_length,continue-explain,t-test,7.673865598116069,5.519459509539768e-13,3.918816251773235e-11,,True
sentence_length_median,human-continue,t-test,-7.63409484618897,7.043751264927463e-13,5.0010633980984987e-11,,True
pos_prop_NOUN,human-create,t-test,-7.589550940012557,9.24835392280789e-13,6.566331285193602e-11,,True
pos_prop_PRON,human-explain,mannwhitneyu,2689.5,1.0971508328137313e-12,7.789770912977492e-11,,True
token_length_mean,continue-explain,t-test,7.512302127300324,1.4799524879602699e-12,1.0507662664517916e-10,,True
duplicate_ngram_chr_fraction_5,human-explain,mannwhitneyu,9358.0,1.8792207584319316e-12,1.3342467384866714e-10,,True
connectives,explain-create,t-test,7.383866157001735,3.214707979866005e-12,2.2824426657048636e-10,,True
coleman_liau_index,continue-explain,t-test,7.326932705400365,4.523025624302858e-12,3.2113481932550294e-10,,True
n_stop_words,continue-explain,t-test,-7.234715835760305,7.838251685730883e-12,5.565158696868928e-10,,True
doc_length,explain-create,t-test,7.18692954442598,1.0405702411379758e-11,7.388048712079628e-10,,True
sentence_length_median,explain-create,t-test,-7.115662612346721,1.5845414959549293e-11,1.1250244621279998e-09,,True
pos_prop_ADV,human-continue,t-test,-7.111499984709428,1.6238204649391414e-11,1.1529125301067905e-09,,True
proportion_unique_tokens,explain-create,t-test,-7.109370545201395,1.64428366314026e-11,1.1674414008295845e-09,,True
TTR,explain-create,t-test,-7.037402283640893,2.5073971487137492e-11,1.780251975586762e-09,,True
sentence_length_mean,human-continue,t-test,-7.0124383115052975,2.9008717255787033e-11,2.0596189251608792e-09,,True
token_length_median,continue-explain,mannwhitneyu,8757.5,4.18347413642949e-11,2.9702666368649378e-09,,True
duplicate_ngram_chr_fraction_7,human-continue,mannwhitneyu,8469.0,5.029699466038662e-11,3.57108662088745e-09,,True
n_tokens,explain-create,t-test,6.866994024187201,6.740193969542788e-11,4.785537718375379e-09,,True
dependency_distance_std,explain-create,t-test,-6.814512712964865,9.112749721029257e-11,6.470052301930772e-09,,True
flesch_reading_ease,continue-explain,t-test,-6.772369106267989,1.1597987753183321e-10,8.234571304760158e-09,,True
n_sentences,human-continue,mannwhitneyu,9066.0,1.5921982776879185e-10,1.1304607771584222e-08,,True
duplicate_ngram_chr_fraction_6,human-create,mannwhitneyu,8821.0,2.311684331204937e-10,1.6412958751555052e-08,,True
sentence_length_median,continue-create,t-test,-6.569739711634662,3.650268350239355e-10,2.591690528669942e-08,,True
syllables_per_token_std,continue-explain,t-test,6.565573639432029,3.7364865180401694e-10,2.6529054278085204e-08,,True
pos_prop_SCONJ,human-continue,t-test,-6.510147755689554,5.092876427155543e-10,3.6159422632804354e-08,,True
pos_prop_ADJ,human-explain,t-test,-6.493764254574223,5.579333632786166e-10,3.961326879278178e-08,,True
connectives,continue-explain,t-test,-6.427082536324859,8.075693596736815e-10,5.7337424536831385e-08,,True
pos_prop_PRON,human-create,t-test,-6.391481887782553,9.828512739305882e-10,6.978244044907177e-08,,True
pos_prop_ADJ,explain-create,t-test,-6.3177068980831175,1.473334264050025e-09,1.0460673274755177e-07,,True
doc_length,human-continue,mannwhitneyu,8845.0,3.22154100118209e-09,2.2872941108392838e-07,,True
second_order_coherence,continue-explain,t-test,-6.122762016131308,4.2313013178702e-09,3.004223935687842e-07,,True
dependency_distance_std,continue-explain,t-test,6.073716369086305,5.498659111809697e-09,3.904047969384885e-07,,True
token_length_std,continue-explain,t-test,6.049273241693141,6.2623427615857755e-09,4.4462633607259006e-07,,True
first_order_coherence,continue-explain,t-test,-5.9778642287582615,9.138396531138623e-09,6.488261537108423e-07,,True
syllables_per_token_median,explain-create,mannwhitneyu,3850.0,3.077029660783186e-08,2.1846910591560623e-06,,True
first_order_coherence,human-continue,t-test,-5.661768341215386,4.693751071520148e-08,3.3325632607793052e-06,,True
syllables_per_token_median,continue-explain,mannwhitneyu,8226.0,4.851079599150237e-08,3.4442665153966685e-06,,True
pos_prop_PRON,human-continue,t-test,-5.641909064298188,5.191397991035315e-08,3.6858925736350733e-06,,True
sentence_length_mean,continue-create,t-test,-5.224754374223618,4.06953391719899e-07,2.889369081211283e-05,,True
n_sentences,human-explain,mannwhitneyu,8432.5,4.275992225805839e-07,3.0359544803221456e-05,,True
gunning_fog,continue-create,t-test,-5.16598338531594,5.390187330072486e-07,3.827033004351465e-05,,True
pos_prop_DET,continue-explain,t-test,-5.150250210300943,5.809131271590042e-07,4.12448320282893e-05,,True
flesch_kincaid_grade,continue-create,t-test,-5.149037561661445,5.842702353599668e-07,4.148318671055764e-05,,True
automated_readability_index,continue-create,t-test,-5.09841804098058,7.425051250855699e-07,5.2717863881075457e-05,,True
n_tokens,human-create,mannwhitneyu,8346.5,1.1505084021142696e-06,8.168609655011315e-05,,True
pos_prop_ADJ,continue-explain,t-test,4.981148487901492,1.285193918460774e-06,9.124876821071496e-05,,True
rix,continue-create,mannwhitneyu,3768.5,1.3514947581722475e-06,9.595612783022957e-05,,True
second_order_coherence,human-continue,t-test,-4.9606177656211825,1.4134102191478547e-06,0.00010035212555949769,,True
Yules,explain-create,mannwhitneyu,3780.0,1.527220560504487e-06,0.00010843265979581857,,True
dependency_distance_mean,continue-explain,t-test,-4.929399188784575,1.6324085632502583e-06,0.00011590100799076834,,True
sentence_length_mean,explain-create,t-test,-4.922056172899176,1.688503714160132e-06,0.00011988376370536936,,True
TTR,continue-explain,t-test,4.833456178549753,2.5309388561869314e-06,0.00017969665878927213,,True
entropy,continue-explain,t-test,-4.831041057894608,2.5588235366445334e-06,0.00018167647110176188,,True
duplicate_ngram_chr_fraction_8,human-continue,mannwhitneyu,7424.0,2.8151498735060064e-06,0.00019987564101892646,,True
oov_ratio,human-create,mannwhitneyu,3864.0,3.6618884072241127e-06,0.000259994076912912,,True
lix,continue-explain,t-test,4.749029877908991,3.7033194908904226e-06,0.00026293568385322,,True
perplexity,continue-explain,mannwhitneyu,3873.0,4.01446384135287e-06,0.0002850269327360538,,True
per_word_perplexity,continue-explain,mannwhitneyu,3885.0,4.535266921526352e-06,0.000322003951428371,,True
n_sentences,continue-create,mannwhitneyu,8204.5,4.619226653283835e-06,0.00032796509238315223,,True
duplicate_ngram_chr_fraction_7,human-create,mannwhitneyu,7831.5,6.07510352915426e-06,0.00043133235056995244,,True
doc_length,continue-explain,t-test,-4.6329551951649055,6.199276962112747e-06,0.000440148664310005,,True
token_length_std,human-create,t-test,-4.6006077206615945,7.144319131249191e-06,0.0005072466583186926,,True
syllables_per_token_std,human-explain,t-test,-4.579654398645721,7.828951776734917e-06,0.000555855576148179,,True
pos_prop_AUX,explain-create,t-test,4.533381377238473,9.571728085433392e-06,0.0006795926940657708,,True
duplicate_ngram_chr_fraction_5,continue-explain,mannwhitneyu,4139.0,1.0279337833979815e-05,0.0007298329862125668,,True
lix,continue-create,t-test,-4.463975448917838,1.2902293119403034e-05,0.0009160628114776154,,True
n_characters,human-explain,t-test,-4.450453863860901,1.3669587387269784e-05,0.0009705407044961547,,True
gunning_fog,continue-explain,t-test,4.4073077221927734,1.6422049234303347e-05,0.0011659654956355377,,True
prop_adjacent_dependency_relation_std,human-create,mannwhitneyu,8083.0,1.6654362310752126e-05,0.0011824597240634009,,True
n_tokens,continue-explain,t-test,-4.305978520296317,2.5132216586924667e-05,0.0017843873776716515,,True
dependency_distance_mean,continue-create,t-test,-4.299023966799058,2.5869924393617966e-05,0.0018367646319468755,,True
n_stop_words,human-explain,t-test,4.225188367786855,3.5094460693051036e-05,0.0024917067092066238,,True
flesch_reading_ease,continue-create,t-test,4.103082325342567,5.760075973926836e-05,0.004089653941488054,,True
pos_prop_ADP,human-explain,t-test,-4.044295271516379,7.282979395847747e-05,0.005170915371051901,,True
duplicate_ngram_chr_fraction_6,continue-explain,mannwhitneyu,4541.5,8.110706670423356e-05,0.005758601736000583,,True
top_ngram_chr_fraction_2,continue-create,mannwhitneyu,7903.5,8.660711702089646e-05,0.006149105308483649,,True
first_order_coherence,continue-create,mannwhitneyu,4237.0,0.00012326229497033227,0.008751622942893592,,True
connectives_cap,human-continue,mannwhitneyu,7834.0,0.0001295372797981564,0.009197146865669104,,True
per_word_perplexity,continue-create,mannwhitneyu,7848.0,0.0001402256393825132,0.009956020396158437,,True
flesch_kincaid_grade,continue-explain,t-test,3.8648175973225753,0.0001466749358632741,0.010413920446292461,,False
oov_ratio,explain-create,mannwhitneyu,4278.0,0.00017487910725466697,0.012416416615081355,,False
duplicate_ngram_chr_fraction_6,human-explain,mannwhitneyu,7736.5,0.00017536822095608317,0.012451143687881906,,False
oov_ratio,human-continue,mannwhitneyu,4279.5,0.00017717184563857173,0.012579201040338594,,False
entropy,continue-create,mannwhitneyu,7818.0,0.0001809558884120984,0.012847868077258986,,False
perplexity,continue-create,mannwhitneyu,7818.0,0.0001809558884120984,0.012847868077258986,,False
duplicate_ngram_chr_fraction_7,continue-explain,mannwhitneyu,4913.0,0.00018596016387864678,0.01320317163538392,,False
duplicate_ngram_chr_fraction_9,human-continue,mannwhitneyu,6985.0,0.0001930993284550828,0.013710052320310879,,False
duplicate_ngram_chr_fraction_8,continue-explain,mannwhitneyu,5064.0,0.00019624399703209783,0.013933323789278945,,False
MTLD,continue-create,mannwhitneyu,4297.0,0.0002052680671655311,0.014574032768752708,,False
top_ngram_chr_fraction_2,explain-create,mannwhitneyu,7803.0,0.0002052680671655311,0.014574032768752708,,False
n_unique_tokens,explain-create,mannwhitneyu,7797.0,0.0002155623114354016,0.015304924111913512,,False
proportion_unique_tokens,continue-create,t-test,-3.720157941908745,0.00025331421597943977,0.017985309334540223,,False
pos_prop_NOUN,continue-create,t-test,3.7188558711062916,0.0002545445339809606,0.018072661912648204,,False
n_characters,explain-create,t-test,3.7042155766892075,0.0002687720378110052,0.01908281468458137,,False
duplicate_ngram_chr_fraction_10,human-continue,mannwhitneyu,6816.5,0.00031318285958481724,0.022235983030522023,,False
oov_ratio,continue-explain,mannwhitneyu,7737.0,0.00035317908765122375,0.025075715223236886,,False
proportion_unique_tokens,continue-explain,t-test,3.617077849562653,0.000370235769048642,0.026286739602453583,,False
connectives,human-explain,t-test,-3.568290238570248,0.0004418107048284354,0.03136856004281891,,False
sentence_length_std,explain-create,mannwhitneyu,4412.0,0.0005227286615178323,0.0371137349677661,,False
second_order_coherence,continue-create,mannwhitneyu,4417.0,0.0005437190240101358,0.038604050704719645,,False
connectives_cap,human-create,mannwhitneyu,7648.5,0.0006146390993707224,0.04363937605532129,,False
rix,continue-explain,mannwhitneyu,7665.5,0.0006234962008094142,0.044268230257468406,,False
pos_prop_SCONJ,continue-explain,t-test,-3.445165917442235,0.000684464928306005,0.04859700990972635,,False
pos_prop_ADV,continue-explain,mannwhitneyu,4449.0,0.0006977771260720814,0.049542175951117776,,False
Yules,continue-explain,mannwhitneyu,7645.0,0.0007308392371488283,0.05188958583756681,,False
MTLD,explain-create,mannwhitneyu,4515.0,0.0011514611003237184,0.081753738122984,,False
duplicate_ngram_chr_fraction_9,continue-explain,mannwhitneyu,5289.5,0.0012448400043944085,0.088383640312003,,False
pos_prop_PUNCT,continue-explain,t-test,-3.2208608811375408,0.0014734328245060045,0.10461373053992631,,False
duplicate_ngram_chr_fraction_7,human-explain,mannwhitneyu,7327.0,0.0016305400189778236,0.11576834134742547,,False
pos_prop_ADP,continue-explain,t-test,-3.160634458692656,0.001797919642016848,0.1276522945831962,,False
sentence_length_std,continue-explain,mannwhitneyu,7521.0,0.0018390564666359405,0.13057300913115177,,False
automated_readability_index,continue-explain,t-test,3.1299632941173514,0.0019874923462662873,0.1411119565849064,,False
n_tokens,human-continue,mannwhitneyu,7488.0,0.0023248807836810867,0.16506653564135715,,False
duplicate_ngram_chr_fraction_8,human-create,mannwhitneyu,7026.0,0.002347778534509174,0.16669227595015135,,False
